level_id,object_key,object_type,relevance_class,relevance_score,solvability_changed,winning_first_action_change,strategy_family_change,dependency_graph_change,polarity_transition_change,meaningful_decision_change,ordering_constraint_change,line_of_sight_change,cancellation_change,route_structure_change,analysis_complete
"d2-v5-tutorial-007","wall:2,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-007","wall:2,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","arrow:a1","ARROW","HIGH","0.4967","false","0.0","0.3333","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","arrow:a2","ARROW","HIGH","0.4967","false","0.0","0.3333","1.0","1.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","arrow:a3","ARROW","LOW","0.0967","false","0.0","0.3333","0.0","0.5","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","magnet:m1","MAGNET","MEDIUM","0.2667","false","0.3333","0.3333","0.3333","1.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","wall:1,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-008","wall:2,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-009","arrow:a1","ARROW","CRITICAL","1.0","true","0.0","1.0","0.7143","1.0","1.0","0.0","0.3333","0.0","0.3333","true"
"d2-v5-tutorial-009","arrow:a2","ARROW","MEDIUM","0.2605","false","0.5","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.5","true"
"d2-v5-tutorial-009","arrow:a3","ARROW","MEDIUM","0.31","false","0.5","0.5","0.75","0.0","0.0","0.0","0.0","0.0","0.5","true"
"d2-v5-tutorial-009","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.75","1.0","1.0","0.0","1.0","0.0","0.5","true"
"d2-v5-tutorial-009","wall:1,4","WALL","MEDIUM","0.2678","false","0.5","0.5","0.4375","0.5","0.0","0.0","0.0","0.0","0.4","true"
"d2-v5-tutorial-009","wall:4,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-010","arrow:a1","ARROW","MEDIUM","0.17","false","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-010","arrow:a2","ARROW","MEDIUM","0.29","false","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-010","wall:1,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-010","wall:3,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-011","arrow:a1","ARROW","MEDIUM","0.23","false","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","true"
"d2-v5-tutorial-011","arrow:a2","ARROW","MEDIUM","0.29","false","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-011","magnet:m1","MAGNET","HIGH","0.38","false","0.5","0.5","0.0","1.0","0.0","0.0","0.6667","1.0","0.5","true"
"d2-v5-tutorial-011","magnet:m2","MAGNET","HIGH","0.5183","false","0.5","0.5","1.0","0.0","1.0","0.0","0.0","1.0","1.0","true"
"d2-v5-tutorial-011","wall:4,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-011","wall:4,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-012","arrow:a1","ARROW","MEDIUM","0.23","false","0.5","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-012","arrow:a2","ARROW","MEDIUM","0.17","false","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","true"
"d2-v5-tutorial-012","arrow:a3","ARROW","LOW","0.04","false","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-013","arrow:a1","ARROW","MEDIUM","0.141","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-hard-013","arrow:a2","ARROW","HIGH","0.64","false","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","true"
"d2-v5-hard-013","arrow:a3","ARROW","HIGH","0.6264","false","0.3333","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","true"
"d2-v5-hard-013","arrow:a4","ARROW","MEDIUM","0.141","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-hard-013","magnet:m1","MAGNET","IRRELEVANT","0.02","false","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","true"
"d2-v5-hard-013","magnet:m2","MAGNET","MEDIUM","0.2462","false","0.25","0.25","0.2727","0.0","0.0","1.0","0.2","0.0","0.0","true"
"d2-v5-hard-013","magnet:m3","MAGNET","HIGH","0.5092","false","0.25","0.25","0.6","0.5","0.0","1.0","0.6","1.0","0.6667","true"
"d2-v5-hard-013","magnet:m4","MAGNET","IRRELEVANT","0.02","false","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","true"
"d2-v5-hard-013","magnet:m5","MAGNET","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-013","wall:2,2","WALL","LOW","0.0471","false","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","true"
"d2-v5-easy-014","arrow:a1","ARROW","HIGH","0.4261","false","0.5","0.5","0.25","0.8333","0.5","0.5","0.0","0.0","0.5","true"
"d2-v5-easy-014","arrow:a2","ARROW","MEDIUM","0.2817","false","0.0","0.5","0.0","0.6667","0.5","0.5","0.0","0.0","0.0","true"
"d2-v5-easy-014","arrow:a3","ARROW","HIGH","0.3607","false","0.0","0.5","0.3","0.6667","0.5","0.5","0.0","0.0","0.3333","true"
"d2-v5-easy-014","magnet:m1","MAGNET","CRITICAL","0.7733","false","0.3333","0.3333","1.0","1.0","1.0","1.0","1.0","0.0","1.0","true"
"d2-v5-easy-014","wall:1,3","WALL","MEDIUM","0.2619","false","0.3333","0.3333","0.1818","0.1429","0.0","1.0","0.0","0.0","0.2857","true"
"d2-v5-easy-014","wall:2,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-014","wall:3,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-015","arrow:a1","ARROW","HIGH","0.64","false","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","true"
"d2-v5-medium-015","arrow:a2","ARROW","MEDIUM","0.1421","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-medium-015","arrow:a3","ARROW","HIGH","0.63","false","0.3333","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","true"
"d2-v5-medium-015","arrow:a4","ARROW","MEDIUM","0.1459","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-medium-015","magnet:m1","MAGNET","CRITICAL","0.7054","false","0.25","0.25","1.0","1.0","1.0","1.0","0.5","0.0","1.0","true"
"d2-v5-medium-015","magnet:m2","MAGNET","LOW","0.0333","false","0.0","0.0","0.0","0.0","0.0","0.0","0.3333","0.0","0.0","true"
"d2-v5-medium-015","wall:4,7","WALL","IRRELEVANT","0.025","false","0.0","0.0","0.0","0.0","0.0","0.0","0.25","0.0","0.0","true"
"d2-v5-medium-015","wall:6,7","WALL","CRITICAL","1.0","true","1.0","1.0","0.1667","0.5","0.0","1.0","0.3333","0.0","0.25","true"
"d2-v5-medium-015","wall:7,1","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-015","wall:7,6","WALL","LOW","0.0394","false","0.0","0.0","0.0833","0.0","0.0","0.0","0.0","0.0","0.3333","true"
"d2-v5-expert-016","arrow:a1","ARROW","HIGH","0.3605","false","0.3333","0.0","0.1429","0.5","0.5","0.5714","0.1667","1.0","0.0","true"
"d2-v5-expert-016","arrow:a2","ARROW","CRITICAL","1.0","true","1.0","1.0","0.8","1.0","1.0","1.0","0.1667","0.8","0.0","true"
"d2-v5-expert-016","arrow:a3","ARROW","MEDIUM","0.1631","false","0.0","0.3333","0.0","0.5","0.0","0.2857","0.0","0.4","0.0","true"
"d2-v5-expert-016","arrow:a4","ARROW","HIGH","0.3594","false","0.0","0.0","0.3","1.0","0.5","0.5714","0.0","0.0","0.5","true"
"d2-v5-expert-016","arrow:a5","ARROW","MEDIUM","0.1609","false","0.0","0.3333","0.0","0.5","0.0","0.2857","0.0","0.4","0.0","true"
"d2-v5-expert-016","magnet:m1","MAGNET","MEDIUM","0.2364","false","0.5","0.0","0.1304","0.2","0.0","0.5714","0.25","0.2","0.2857","true"
"d2-v5-expert-016","magnet:m2","MAGNET","HIGH","0.5194","false","0.4","0.4","0.5556","0.2","0.5","1.0","0.4444","0.75","0.6","true"
"d2-v5-expert-016","magnet:m3","MAGNET","MEDIUM","0.3063","false","0.25","0.25","0.3226","0.6","0.3333","0.4286","0.125","0.0","0.4","true"
"d2-v5-expert-016","magnet:m4","MAGNET","MEDIUM","0.2319","false","0.3333","0.3333","0.087","0.5","0.0","0.2857","0.1429","0.4","0.25","true"
"d2-v5-expert-016","magnet:m5","MAGNET","IRRELEVANT","0.0125","false","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","true"
"d2-v5-expert-016","magnet:m6","MAGNET","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-expert-016","wall:2,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-expert-016","wall:4,5","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-017","arrow:a1","ARROW","HIGH","0.3765","false","0.3333","0.3333","0.1304","0.7647","0.3333","0.6","0.0","0.5","0.125","true"
"d2-v5-hard-017","arrow:a2","ARROW","HIGH","0.4253","false","0.5","0.25","0.1538","0.4118","0.3333","1.0","0.0","1.0","0.0","true"
"d2-v5-hard-017","arrow:a3","ARROW","MEDIUM","0.1776","false","0.0","0.3333","0.0","0.5","0.0","0.4","0.0","0.5","0.0","true"
"d2-v5-hard-017","arrow:a4","ARROW","HIGH","0.391","false","0.25","0.25","0.12","0.4118","0.3333","1.0","0.0","1.0","0.0","true"
"d2-v5-hard-017","arrow:a5","ARROW","MEDIUM","0.3093","false","0.0","0.3333","0.0435","0.7059","0.3333","0.6","0.0","0.5","0.0","true"
"d2-v5-hard-017","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.9268","1.0","1.0","1.0","0.0","1.0","0.7857","true"
"d2-v5-hard-017","magnet:m2","MAGNET","LOW","0.085","false","0.0","0.0","0.0","0.0","0.0","0.0","0.25","1.0","0.0","true"
"d2-v5-hard-017","wall:2,3","WALL","IRRELEVANT","0.0113","false","0.0","0.0","0.0222","0.0","0.0","0.0","0.0","0.0","0.0714","true"
"d2-v5-hard-017","wall:4,4","WALL","MEDIUM","0.2796","false","0.25","0.25","0.3382","0.4848","0.25","0.4","0.125","0.0","0.3636","true"
"d2-v5-hard-017","wall:5,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-017","wall:5,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-018","arrow:a1","ARROW","MEDIUM","0.1927","false","0.3333","0.0","0.0","0.5","0.0","0.2","0.0","0.6","0.0","true"
"d2-v5-medium-018","arrow:a2","ARROW","HIGH","0.4067","false","0.25","0.25","0.2","0.5","0.5","1.0","0.0","0.8","0.0","true"
"d2-v5-medium-018","arrow:a3","ARROW","MEDIUM","0.3385","false","0.25","0.25","0.3529","0.25","0.5","0.2","0.0","0.6","0.5","true"
"d2-v5-medium-018","arrow:a4","ARROW","HIGH","0.4308","false","0.25","0.25","0.2727","0.5","0.5","1.0","0.0","0.8","0.375","true"
"d2-v5-medium-018","arrow:a5","ARROW","MEDIUM","0.3394","false","0.0","0.3333","0.2273","0.8125","0.5","0.2","0.1429","0.7","0.1429","true"
"d2-v5-medium-018","arrow:a6","ARROW","MEDIUM","0.1541","false","0.0","0.3333","0.0","0.5","0.0","0.2","0.0","0.5","0.0","true"
"d2-v5-medium-018","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.7407","0.75","0.5","1.0","0.4","1.0","0.5556","true"
"d2-v5-medium-018","magnet:m2","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.2414","0.75","0.0","1.0","0.3333","1.0","0.0","true"
"d2-v5-medium-018","wall:2,3","WALL","MEDIUM","0.2723","false","0.25","0.25","0.0938","0.2","0.0","1.0","0.3","0.2","0.2727","true"
"d2-v5-master-019","arrow:a1","ARROW","HIGH","0.3983","false","0.3333","0.3333","0.0","0.5","0.5","0.5","0.1667","1.0","0.5","true"
"d2-v5-master-019","arrow:a2","ARROW","HIGH","0.3686","false","0.5","0.0","0.1176","0.75","0.5","0.3333","0.125","0.6154","0.2","true"
"d2-v5-master-019","arrow:a3","ARROW","MEDIUM","0.1817","false","0.0","0.5","0.0","0.5","0.0","0.3333","0.0","0.4615","0.0","true"
"d2-v5-master-019","arrow:a4","ARROW","MEDIUM","0.2669","false","0.6667","0.0","0.0952","0.5","0.0","0.1667","0.125","0.7692","0.1429","true"
"d2-v5-master-019","arrow:a5","ARROW","CRITICAL","1.0","true","1.0","1.0","0.3125","0.75","0.5","1.0","0.0","0.3077","0.1667","true"
"d2-v5-master-019","magnet:m1","MAGNET","HIGH","0.4245","false","0.5","0.5","0.2895","0.5","0.0","1.0","0.2222","0.6923","0.3333","true"
"d2-v5-master-019","magnet:m2","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.6923","0.875","0.5","1.0","0.0","0.8462","0.4444","true"
"d2-v5-master-019","magnet:m3","MAGNET","IRRELEVANT","0.002","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-master-019","wall:5,1","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-master-019","wall:6,4","WALL","CRITICAL","1.0","true","1.0","1.0","0.3448","0.0","0.5","1.0","0.0","0.2353","0.2222","true"
"d2-v5-master-019","wall:7,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-020","arrow:a1","ARROW","HIGH","0.352","false","0.0","0.0","0.1667","0.6","0.0","1.0","0.2","1.0","0.0","true"
"d2-v5-easy-020","arrow:a2","ARROW","CRITICAL","1.0","true","1.0","1.0","0.5","0.8","0.0","1.0","0.1429","1.0","0.3333","true"
"d2-v5-easy-020","arrow:a3","ARROW","CRITICAL","1.0","true","1.0","1.0","0.2308","0.8","0.0","1.0","0.0","0.3333","0.1667","true"
"d2-v5-easy-020","arrow:a4","ARROW","CRITICAL","1.0","true","1.0","1.0","0.8","1.0","1.0","1.0","0.3333","0.6667","0.5","true"
"d2-v5-easy-020","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.1765","0.2","0.0","1.0","0.1667","0.6667","0.1667","true"
"d2-v5-easy-020","magnet:m2","MAGNET","MEDIUM","0.2937","false","0.3333","0.3333","0.0","0.375","0.0","1.0","0.1667","0.3333","0.2857","true"
"d2-v5-easy-020","magnet:m3","MAGNET","IRRELEVANT","0.025","false","0.0","0.0","0.0","0.0","0.0","0.0","0.25","0.0","0.0","true"
"d2-v5-easy-020","wall:4,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-020","wall:4,3","WALL","CRITICAL","1.0","true","1.0","1.0","0.6471","0.6","0.0","1.0","0.0","0.0","0.5714","true"
"d2-v5-easy-020","wall:5,4","WALL","CRITICAL","1.0","true","1.0","1.0","0.3529","0.8","0.0","1.0","0.0","0.0","0.1429","true"
"d2-v5-hard-021","arrow:a1","ARROW","MEDIUM","0.15","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-hard-021","arrow:a2","ARROW","HIGH","0.6367","false","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","true"
"d2-v5-hard-021","arrow:a3","ARROW","MEDIUM","0.14","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-hard-021","arrow:a4","ARROW","HIGH","0.63","false","0.3333","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","true"
"d2-v5-hard-021","magnet:m1","MAGNET","CRITICAL","1.0","true","1.0","1.0","0.8182","1.0","1.0","1.0","0.5","0.0","0.5","true"
"d2-v5-hard-021","magnet:m2","MAGNET","MEDIUM","0.3435","false","0.3333","0.3333","0.3158","0.0","0.5","0.3333","0.4","1.0","0.3333","true"
"d2-v5-hard-021","magnet:m3","MAGNET","IRRELEVANT","0.025","false","0.0","0.0","0.0","0.0","0.0","0.0","0.25","0.0","0.0","true"
"d2-v5-hard-021","wall:1,2","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-021","wall:1,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-hard-021","wall:3,1","WALL","MEDIUM","0.1892","false","0.25","0.25","0.0","0.0","0.0","1.0","0.0","0.0","0.25","true"
"d2-v5-hard-021","wall:4,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-022","arrow:a1","ARROW","MEDIUM","0.254","false","0.0","0.2","0.0435","0.625","0.0","0.6","0.0","0.8","0.0","true"
"d2-v5-easy-022","arrow:a2","ARROW","MEDIUM","0.167","false","0.0","0.2","0.0","0.5","0.0","0.4","0.0","0.5","0.0","true"
"d2-v5-easy-022","arrow:a3","ARROW","HIGH","0.3573","false","0.25","0.4","0.3333","0.625","0.0","0.4","0.0","0.8","0.2857","true"
"d2-v5-easy-022","arrow:a4","ARROW","MEDIUM","0.2838","false","0.25","0.4","0.087","0.625","0.0","0.4","0.0","0.8","0.0","true"
"d2-v5-easy-022","arrow:a5","ARROW","MEDIUM","0.3225","false","0.0","0.2","0.2727","0.625","0.0","0.6","0.0","0.8","0.2857","true"
"d2-v5-easy-022","magnet:m1","MAGNET","CRITICAL","0.7148","false","0.0","0.0","1.0","1.0","1.0","1.0","0.5","1.0","1.0","true"
"d2-v5-easy-022","magnet:m2","MAGNET","LOW","0.0761","false","0.0","0.0","0.0","0.0","0.0","0.0","0.1429","1.0","0.0","true"
"d2-v5-easy-022","wall:2,2","WALL","MEDIUM","0.1232","false","0.2","0.2","0.0","0.0588","0.0","0.2","0.1429","0.6","0.0","true"
"d2-v5-easy-022","wall:3,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-022","wall:3,8","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-022","wall:6,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-easy-022","wall:8,8","WALL","MEDIUM","0.1939","false","0.0","0.0","0.1111","0.2","0.0","1.0","0.0","0.1667","0.25","true"
"d2-v5-medium-023","arrow:a1","ARROW","HIGH","0.64","false","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","true"
"d2-v5-medium-023","arrow:a2","ARROW","MEDIUM","0.1459","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-medium-023","arrow:a3","ARROW","HIGH","0.63","false","0.3333","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","arrow:a4","ARROW","MEDIUM","0.1459","false","0.0","0.3333","0.0","0.5","0.0","0.3333","0.0","0.0","0.0","true"
"d2-v5-medium-023","magnet:m1","MAGNET","CRITICAL","0.6554","false","0.25","0.25","1.0","1.0","1.0","1.0","0.0","0.0","1.0","true"
"d2-v5-medium-023","magnet:m2","MAGNET","LOW","0.0372","false","0.0","0.0","0.0","0.0","0.0","0.0","0.3333","0.0","0.0","true"
"d2-v5-medium-023","wall:1,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","wall:1,4","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","wall:3,5","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","wall:3,6","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","wall:4,4","WALL","MEDIUM","0.1808","false","0.0","0.0","0.4","0.5","0.0","0.0","0.25","0.0","0.4","true"
"d2-v5-medium-023","wall:6,2","WALL","MEDIUM","0.2268","false","0.25","0.25","0.2727","0.0","0.0","1.0","0.0","0.0","0.0","true"
"d2-v5-medium-023","wall:6,3","WALL","IRRELEVANT","0.0","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","true"
"d2-v5-expert-024","arrow:a1","ARROW","CRITICAL","0.72","false","0.25","0.25","1.0","1.0","1.0","1.0","0.2","1.0","0.0","true"
