levelId,levelNumber,title,boardSize,arrowCount,magnetCount,wallCount,plausibleChoiceCount,immediatelyInvalidChoiceCount,successfulChoiceCount,safeSuccessfulChoiceCount,meaningfulSuccessfulChoiceCount,harmfulDecisionCount,meaningfulFailureRate,harmfulDecisionDensity,mandatoryOrderingPairCount,mandatoryOrderingRatio,mandatoryOrderingChainDepth,polarityFlipCount,strategicallyImpactfulPolarityFlipCount,polarityImpactRatio,rawWinningSequenceCount,canonicalStrategyCount,permutationRedundancy,commutationRatio,greedySolved,greedyFailureDepth,randomPolicyCompletionRate,randomPolicyDeadlockRate,recoveryPressure,maxRecoveryDepth,deadEndDepth,longestForcedRun,meaningfulDecisionCount,decisionDensity,maxDecisionGap,relevantWallCount,irrelevantWallCount,relevantMagnetCount,irrelevantMagnetCount,v3Score,v4Score,v4Confidence,searchComplete,searchStateCount,searchTruncated,truncationReason,metricStatus
campaign-014,14,Magnetic Circuit 014,4x4,3,1,3,9,1,8,6,4,2,0.25,1.0,1,0.3333,2,7,4,0.5714,2,2,0.0,0.0,false,0,0.5273,0.4727,0.375,2,2,2,2,0.6667,1,1,2,1,0,67,63,1.0,true,9,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-015,15,Magnetic Circuit 015,8x8,4,2,4,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,12,4,0.3333,12,1,0.9167,1.0,false,0,0.4609,0.5391,0.2778,3,3,1,2,0.5,2,1,3,1,1,78,41,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-016,16,Magnetic Circuit 016,7x7,5,6,2,40,0,40,28,26,8,0.3,1.0,3,0.3,3,40,8,0.2,20,1,0.95,1.0,true,,0.1602,0.8398,0.5667,4,4,1,2,0.4,3,0,2,4,2,83,46,1.0,true,32,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-017,17,Magnetic Circuit 017,6x6,5,2,4,45,10,35,29,22,6,0.1714,0.6667,1,0.1,2,26,16,0.6154,15,3,0.8,0.8571,false,0,0.5195,0.4805,0.2571,2,2,2,4,0.8,1,1,3,1,1,88,41,1.0,true,22,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-018,18,Magnetic Circuit 018,5x5,6,2,1,84,10,74,58,45,16,0.2162,1.0,3,0.2,3,46,18,0.3913,48,2,0.9583,0.9429,true,,0.1758,0.8242,0.4144,5,5,1,3,0.5,3,1,0,2,0,89,47,1.0,true,48,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-019,19,Magnetic Circuit 019,8x8,5,3,3,25,4,21,13,14,6,0.381,1.0,6,0.6,4,21,8,0.381,5,1,0.8,1.0,false,2,0.082,0.918,0.6667,3,3,3,4,0.8,1,1,2,2,1,86,62,1.0,true,20,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-020,20,Magnetic Circuit 020,5x5,4,3,3,15,5,10,8,6,2,0.2,0.5,4,0.6667,3,10,5,0.5,3,1,0.6667,1.0,true,,0.4844,0.5156,0.3,2,2,3,3,0.75,1,2,1,2,1,72,39,1.0,true,9,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-021,21,Magnetic Circuit 021,5x5,4,3,4,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,18,4,0.2222,12,1,0.9167,1.0,false,1,0.5312,0.4688,0.2778,3,3,2,3,0.75,1,1,3,2,1,76,37,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-022,22,Magnetic Circuit 022,8x8,5,2,5,73,12,61,55,44,6,0.0984,0.375,0,0.0,0,45,22,0.4889,40,3,0.925,0.7143,true,,0.7695,0.2305,0.1585,3,3,2,3,0.6,2,2,3,1,1,76,9,1.0,true,36,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-023,23,Magnetic Circuit 023,6x6,4,2,7,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,18,4,0.2222,12,1,0.9167,1.0,false,0,0.4609,0.5391,0.2778,3,3,1,2,0.5,2,1,6,1,1,81,39,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-024,24,Magnetic Circuit 024,8x8,5,4,4,40,4,36,28,22,8,0.2222,1.0,3,0.3,3,36,4,0.1111,20,1,0.95,1.0,false,0,0.2656,0.7344,0.4074,4,4,1,2,0.4,3,1,3,3,1,80,49,1.0,true,24,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-025,25,Magnetic Circuit 025,5x5,4,4,1,18,3,15,12,9,3,0.2,0.75,2,0.3333,2,15,3,0.2,6,1,0.8333,1.0,false,1,0.4844,0.5156,0.3333,3,3,2,3,0.75,1,0,1,3,1,76,45,1.0,true,12,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-026,26,Magnetic Circuit 026,6x6,6,3,1,84,16,68,62,30,6,0.0882,0.5455,3,0.2,3,30,6,0.2,78,2,0.9744,0.9535,true,,0.5273,0.4727,0.1617,4,4,1,3,0.5,3,0,1,2,1,85,24,1.0,true,42,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-027,27,Magnetic Circuit 027,8x8,6,3,2,42,18,24,17,15,6,0.2917,0.8571,8,0.5333,4,24,17,0.7083,7,2,0.7143,1.0,false,0,0.2852,0.7148,0.4862,3,3,4,3,0.5,3,1,1,2,1,80,61,1.0,true,24,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-028,28,Magnetic Circuit 028,5x5,5,1,5,84,10,74,68,45,6,0.0811,0.3529,0,0.0,0,48,28,0.5833,50,4,0.92,0.8039,true,,0.7344,0.2656,0.1216,2,2,1,2,0.4,3,1,4,1,0,77,6,1.0,true,38,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-029,29,Magnetic Circuit 029,5x5,6,3,1,68,14,54,44,29,6,0.1852,0.5455,3,0.2,3,36,14,0.3889,36,2,0.9444,1.0,false,0,0.2148,0.7852,0.3519,4,4,1,3,0.5,3,1,0,3,0,92,53,1.0,true,40,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-030,30,Magnetic Circuit 030,4x4,4,2,1,19,2,17,15,4,2,0.1176,1.0,2,0.3333,2,17,2,0.1176,8,1,0.875,1.0,false,1,0.5156,0.4844,0.1764,2,2,1,2,0.5,2,0,1,1,1,70,35,1.0,true,12,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-031,31,Magnetic Circuit 031,6x6,5,3,1,64,4,60,52,34,8,0.1333,0.7273,1,0.1,2,42,16,0.381,40,2,0.95,0.8857,false,1,0.4766,0.5234,0.2444,4,4,1,3,0.6,2,0,1,2,1,86,40,1.0,true,36,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-032,32,Magnetic Circuit 032,7x7,5,3,2,25,4,21,13,14,6,0.381,1.0,6,0.6,4,21,8,0.381,5,1,0.8,1.0,true,,0.0781,0.9219,0.6667,3,3,1,3,0.6,2,0,2,2,1,89,56,1.0,true,20,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-033,33,Magnetic Circuit 033,7x7,4,5,1,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,24,4,0.1667,12,1,0.9167,1.0,true,,0.4688,0.5312,0.2778,3,3,2,3,0.75,1,0,1,2,3,79,26,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-034,34,Magnetic Circuit 034,6x6,3,1,4,9,0,9,7,4,2,0.2222,1.0,1,0.3333,2,6,2,0.3333,3,1,0.6667,1.0,true,,0.4727,0.5273,0.3333,2,2,1,1,0.3333,2,0,4,1,0,62,39,1.0,true,8,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-035,35,Magnetic Circuit 035,8x8,5,4,2,40,0,40,28,26,8,0.3,1.0,3,0.3,3,24,8,0.3333,20,1,0.95,1.0,true,,0.1406,0.8594,0.5667,4,4,1,2,0.4,3,1,1,3,1,87,49,1.0,true,32,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-036,36,Magnetic Circuit 036,4x4,3,2,2,9,0,9,7,4,2,0.2222,1.0,1,0.3333,2,6,2,0.3333,3,1,0.6667,1.0,true,,0.4844,0.5156,0.3333,2,2,2,2,0.6667,1,1,1,1,1,64,38,1.0,true,8,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-037,37,Magnetic Circuit 037,5x5,5,5,1,39,8,31,25,22,6,0.1935,0.75,3,0.3,2,31,14,0.4516,20,1,0.95,1.0,false,1,0.4844,0.5156,0.3548,4,4,2,4,0.8,1,1,0,4,1,86,51,1.0,true,21,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-038,38,Magnetic Circuit 038,5x5,5,2,3,76,8,68,64,41,4,0.0588,0.2857,0,0.0,0,28,16,0.5714,60,2,0.9667,0.8462,true,,0.8477,0.1523,0.098,3,3,1,2,0.4,3,1,2,1,1,79,2,1.0,true,36,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-039,39,Magnetic Circuit 039,8x8,4,2,7,24,0,24,20,11,4,0.1667,1.0,1,0.1667,2,18,4,0.2222,12,1,0.9167,1.0,true,,0.4688,0.5312,0.2778,3,3,2,3,0.75,1,1,6,1,1,78,26,1.0,true,16,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-040,40,Magnetic Circuit 040,7x7,6,6,2,61,8,53,37,41,12,0.3019,0.8571,6,0.4,4,45,16,0.3556,30,2,0.9333,0.9048,false,0,0.082,0.918,0.5786,4,4,1,4,0.6667,2,1,1,3,3,90,64,1.0,true,50,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-041,41,Magnetic Circuit 041,5x5,5,5,1,22,10,12,9,7,3,0.25,1.0,8,0.8,4,12,5,0.4167,3,1,0.6667,1.0,false,0,0.543,0.457,0.5,4,4,3,3,0.6,2,1,0,3,2,82,61,1.0,true,14,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-042,42,Magnetic Circuit 042,5x5,5,2,2,45,6,39,33,25,6,0.1538,0.6667,2,0.2,2,30,12,0.4,30,1,0.9667,1.0,true,,0.5039,0.4961,0.282,4,4,2,3,0.6,2,0,2,2,0,74,32,1.0,true,24,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-043,43,Magnetic Circuit 043,8x8,5,3,2,40,4,36,28,22,8,0.2222,1.0,3,0.3,3,16,8,0.5,20,1,0.95,1.0,false,0,0.2656,0.7344,0.4074,4,4,1,2,0.4,3,1,1,2,1,84,57,1.0,true,24,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-044,44,Magnetic Circuit 044,8x8,5,3,2,45,6,39,33,25,6,0.1538,0.6667,2,0.2,2,24,6,0.25,30,1,0.9667,1.0,true,,0.5195,0.4805,0.282,4,4,1,2,0.4,3,1,1,2,1,83,31,1.0,true,24,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-045,45,Magnetic Circuit 045,6x6,5,2,1,40,8,32,28,18,4,0.125,0.5714,3,0.3,3,24,12,0.5,20,1,0.95,1.0,false,1,0.5312,0.4688,0.2083,3,3,3,3,0.6,2,1,0,2,0,80,42,1.0,true,20,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-046,46,Magnetic Circuit 046,8x8,5,3,4,84,10,74,68,45,6,0.0811,0.3529,0,0.0,0,66,28,0.4242,50,4,0.92,0.8039,true,,0.7656,0.2344,0.1216,2,2,2,4,0.8,1,1,3,1,2,86,3,1.0,true,38,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
campaign-047,47,Magnetic Circuit 047,5x5,3,3,5,9,0,9,7,4,2,0.2222,1.0,1,0.3333,2,7,2,0.2857,3,1,0.6667,1.0,false,1,0.5156,0.4844,0.3333,2,2,2,2,0.6667,1,1,4,1,2,63,46,1.0,true,8,false,,stateGraph:COMPLETE|strategy:COMPLETE|ordering:COMPLETE|polarity:COMPLETE|objectRelevance:COMPLETE|humanPerceivedObviousness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION|visualFairness:NOT_MEASURABLE_WITH_CURRENT_IMPLEMENTATION
