number,id,title,board_width,board_height,arrow_count,magnet_count,wall_count,current_difficulty_v3,current_quality_v2,current_quality_status,v3_solution_family_count,v3_meaningful_decision_points,v3_dependency_depth,v3_mechanic_relevance_ratio,v3_unused_empty_space_ratio,v3_irrelevant_entity_ratio,total_solution_length,solution_sequences,meaningful_solution_strategies,solution_permutation_redundancy,canonical_plausible_choices,canonical_immediately_invalid_choices,canonical_viable_choices,canonical_fatal_choices,canonical_meaningful_choice_classes,canonical_consequential_decision_nodes,canonical_harmful_decision_nodes,canonical_effectively_equivalent_choices,canonical_independent_moves,explored_plausible_choices,explored_immediately_invalid_choices,explored_viable_choices,explored_fatal_choices,meaningful_failure_rate,explored_consequential_decision_nodes,explored_harmful_decision_nodes,future_impact_edges,commutative_pairs,viable_choice_pairs,commutative_pair_rate,mandatory_order_pairs,flexible_order_pairs,meaningful_order_strength,canonical_polarity_flips,polarity_material_impacts,polarity_strategic_impacts,polarity_actionability_impacts,polarity_solution_structure_impacts,polarity_impact_rate,decorative_magnets,strategically_relevant_magnets,solvability_essential_magnets,controlled_success_interactions,controlled_failed_interactions,impactful_polarity_magnets,decorative_walls,route_relevant_walls,movement_relevant_walls,visibility_relevant_walls,strategically_relevant_walls,solvability_essential_walls,arrow_occlusion_events,cancellation_events,cancellation_impactful_events,cancellation_fatal_events,cancellation_canonical_events,first_obvious_solve_probability,first_obvious_expected_actions,first_obvious_expected_wrong_actions,first_obvious_expected_restarts,first_obvious_expected_meaningful_setbacks,first_obvious_expected_polarity_mistakes,first_obvious_expected_decision_points,greedy_solve_probability,greedy_expected_actions,greedy_expected_wrong_actions,greedy_expected_restarts,greedy_expected_meaningful_setbacks,greedy_expected_polarity_mistakes,greedy_expected_decision_points,random_successful_solve_probability,random_successful_expected_actions,random_successful_expected_wrong_actions,random_successful_expected_restarts,random_successful_expected_meaningful_setbacks,random_successful_expected_polarity_mistakes,random_successful_expected_decision_points,random_visible_solve_probability,random_visible_expected_actions,random_visible_expected_wrong_actions,random_visible_expected_restarts,random_visible_expected_meaningful_setbacks,random_visible_expected_polarity_mistakes,random_visible_expected_decision_points,shortest_route_solve_probability,shortest_route_expected_actions,shortest_route_expected_wrong_actions,shortest_route_expected_restarts,shortest_route_expected_meaningful_setbacks,shortest_route_expected_polarity_mistakes,shortest_route_expected_decision_points,triviality_classification,mechanic_presence_count,mechanic_interaction_count,claimed_mechanics,interacting_mechanics,primary_ease_reason,canonical_interchangeable_groups
11,proto-011,Reverse gate,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
12,proto-012,Prototype capstone,4,4,3,1,1,21,75,REVIEW,1,0,3,1.000000,0.687500,0.000000,3,4,2,0.500000,5,1,5,0,3,1,0,0,2,10,2,10,0,0.000000,2,0,7,2,4,0.500000,0,3,No meaningful ordering,3,2,2,2,1,0.666667,0,1,1,10,2,1,0,1,1,0,1,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.333333,0.333333,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,4,4,PULL+PUSH+POLARITY_FLIP+WALLS,PULL+PUSH+POLARITY_FLIP+WALLS,No successful choice creates an unsolvable future state,d0:A+C
13,campaign-013,Quiet attraction,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
14,campaign-014,Amber release,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
15,campaign-015,Offset field,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
16,campaign-016,Side gate,4,4,3,1,1,21,75,REVIEW,1,0,3,1.000000,0.687500,0.000000,3,4,2,0.500000,5,1,5,0,3,1,0,0,2,10,2,10,0,0.000000,2,0,7,2,4,0.500000,0,3,No meaningful ordering,3,2,2,2,1,0.666667,0,1,1,10,2,1,0,1,1,0,1,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.333333,0.333333,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,4,4,PULL+PUSH+POLARITY_FLIP+WALLS,PULL+PUSH+POLARITY_FLIP+WALLS,No successful choice creates an unsolvable future state,d0:A+C
17,campaign-017,Hidden alignment,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
18,campaign-018,Long shield,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
19,campaign-019,Three-beat gate,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
20,campaign-020,Raised relay,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
21,campaign-021,Push opening,4,4,3,1,1,21,75,REVIEW,1,0,3,1.000000,0.687500,0.000000,3,4,2,0.500000,5,1,5,0,3,1,0,0,2,10,2,10,0,0.000000,2,0,7,2,4,0.500000,0,3,No meaningful ordering,3,2,2,2,1,0.666667,0,1,0,10,2,1,0,1,1,0,1,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.333333,0.333333,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,4,4,PULL+PUSH+POLARITY_FLIP+WALLS,PULL+PUSH+POLARITY_FLIP+WALLS,No successful choice creates an unsolvable future state,d0:A+C
22,campaign-022,Corner rhythm,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
23,campaign-023,Wide alternation,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
24,campaign-024,Deep gate,4,4,2,1,0,19,78,REVIEW,1,0,2,1.000000,0.687500,0.000000,2,2,1,0.500000,3,0,3,0,2,1,0,0,2,4,0,4,0,0.000000,1,0,2,1,1,1.000000,0,1,No meaningful ordering,2,1,0,0,0,0.000000,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,No successful choice creates an unsolvable future state,d0:A+B
25,campaign-025,Layered reveal,4,4,3,1,1,21,75,REVIEW,1,0,3,1.000000,0.687500,0.000000,3,4,2,0.500000,5,1,5,0,3,1,0,0,2,10,2,10,0,0.000000,2,0,7,2,4,0.500000,0,3,No meaningful ordering,3,2,2,2,1,0.666667,0,1,1,10,2,1,0,1,1,0,1,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.333333,0.333333,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,4,4,PULL+PUSH+POLARITY_FLIP+WALLS,PULL+PUSH+POLARITY_FLIP+WALLS,No successful choice creates an unsolvable future state,d0:A+C
26,campaign-026,Twin cadence,3,3,3,1,1,43,85,REVIEW,3,1,2,1.000000,0.444400,0.000000,3,6,1,0.833333,6,0,6,0,5,2,0,0,5,12,0,12,0,0.000000,2,0,4,6,6,1.000000,0,3,No meaningful ordering,2,1,0,0,0,0.000000,0,1,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Easy,5,3,PULL+PUSH+POLARITY_FLIP+WALLS+OCCLUSION,PULL+PUSH+OCCLUSION,Every successful choice remains solvable and winning orders are mostly interchangeable,d0:A+B+C;d1:B+C
27,campaign-027,Crossed cadence,3,3,3,1,0,44,85,REVIEW,2,1,3,1.000000,0.444400,0.000000,3,6,1,0.833333,6,0,6,0,5,2,0,0,5,12,0,12,0,0.000000,4,0,9,6,6,1.000000,0,3,No meaningful ordering,3,2,0,0,0,0.000000,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Easy,3,2,PULL+PUSH+POLARITY_FLIP,PULL+PUSH,Every successful choice remains solvable and winning orders are mostly interchangeable,d0:A+B+C;d1:B+C
28,campaign-028,Left rail duet,4,4,3,2,1,44,79,REVIEW,3,1,2,1.000000,0.437500,0.166700,3,3,1,0.666667,4,2,4,0,2,1,0,0,2,7,2,7,0,0.000000,1,0,2,2,2,1.000000,1,2,Weak ordering,1,0,0,0,0,0.000000,0,2,0,3,0,0,1,0,0,0,0,0,2,4,4,0,1,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.583333,0.583333,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Very Easy,7,4,PUSH+POLARITY_FLIP+WALLS+OCCLUSION+CANCELLATION+MULTIPLE_MAGNETS+ORDER_DEPENDENCY,PUSH+OCCLUSION+MULTIPLE_MAGNETS+CANCELLATION,No successful choice creates an unsolvable future state,d0:A+B
