level_id,difficulty_band,grid_size,rows,columns,arrow_count,magnet_count,wall_count,object_density,interaction_density,magnetic_relationship_count,average_magnetic_distance,max_magnetic_distance,line_of_sight_interactions,arrow_vs_arrow_interactions,magnet_cancellation_count,polarity_dependent_decisions,polarity_impact_depth,dependency_edges,dependency_depth,ordering_constraints,meaningful_ordering_rate,safe_choice_ratio,meaningful_failure_rate,harmful_decision_density,recovery_pressure,consequence_depth,consequence_breadth,exposure_reveal_count,controller_changes,object_relevance_score,irrelevant_object_count,greedy_solve_rate,random_success_rate,canonical_strategies,commutation_quotient,permutation_redundancy,v4_score,v4_confidence,quality_score,solver_state_count,truncation_status,pacing_status,exact_fingerprint,symmetry_fingerprint,interaction_fingerprint,dependency_fingerprint
"d2-v5-tutorial-011","TUTORIAL","4x4","4","4","2","2","2","0.375","0.1333","0","0.0","0","1","6","1","0","0","4","2","1","1.0","1.0","0.0","0.0","0.0","1","1","2","0","0.2364","2","1.0","1.0","1","1","0.0","0","1.0","72","3","COMPLETE","PASS_STRUCTURAL","sha256:5ddb4adf8983135eb31e44e9b757f0bde8823c7c0d87d774624f8c486d17efa2","sha256:53e18db2b90a5a8beeff798c0335ac10455533291849081e53f680aa3f9bf405","334e8f6121de5c557896778b1a65b5ca0e4334e6a657305f98d6493b7019ea3c","7e75fac008bd89aa81b1bbcd7ae4ff9d85055e8ff42f6dc95619d79c22d9a023"
"d2-v5-tutorial-012","TUTORIAL","4x4","4","4","3","0","0","0.1875","0.3333","0","0.0","0","0","5","0","0","0","4","2","1","0.3333","1.0","0.0","0.0","0.0","1","1","2","0","0.1467","0","1.0","1.0","1","1","0.6667","0","1.0","87","6","COMPLETE","PASS_STRUCTURAL","sha256:816300590884963eeac685abf2b66d06d73bd64758afe708f8289750fcf8995a","sha256:78c2478cac49d24ef19f35e880d82c99321fa2d426fa3116f68bc56775abcec3","2b019fd9f30b6d05cf726b86176a7fec08b9e6bc16d6134b985f85eaae2d21b3","57ce29fef3f26de79ba90e3fe68505b4d210927e2df011bbf5812a640c855491"
"d2-v5-hard-013","HARD","5x5","5","5","4","5","1","0.4","0.2222","16","1.0","1","5","13","0","8","3","12","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.2391","3","0.0","0.625","1","1","0.9167","40","1.0","86","16","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:037fed53a70f58d66d1b5213b46e87939fdfe31adb2c990e39ab8dd0937c1b71","sha256:c0fc7aec96274ad20e9f5a1df737a04b7f7d3677edddc1641b4929f113cf4ca2","1639fca6add9a859c2d59bb0df59f7aea54bcd1206c9b9cbbd13d2b2d4d5da30","c2056e3763e6888926251a65ff35def443f31d36e01153a074a02db2ec4f37cc"
"d2-v5-easy-014","EASY","4x4","4","4","3","1","3","0.4375","0.381","10","1.2","2","4","18","0","6","2","20","4","2","0.3333","0.75","0.25","1.0","0.375","4","2","8","1","0.3005","2","0.0","0.5","2","2","0.0","63","1.0","86","9","COMPLETE","PASS_STRUCTURAL","sha256:b04628050184770b2df52c521f5db69929498d1558fd4ba99a1f03bae4629fce","sha256:f2d2c9e5cc378de8f49955d35c21d3525bfba15dd10b4385b57d2ae60855d30b","a13ec3f6e8a0767b78da0b4d93871c823eeeeedec8b098d784744dbef6e1d3ae","5dce647306b8bb85ee3c307e1ef2f338b31cb2a4b0da3032008398efa753c346"
"d2-v5-medium-015","MEDIUM","8x8","8","8","4","2","4","0.1562","0.2222","16","1.0","1","3","14","0","8","3","12","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.3361","2","0.0","0.5938","1","1","0.9167","40","1.0","78","16","COMPLETE","PASS_STRUCTURAL","sha256:35ce9b98e5ed86b631b25ac8448c9f58edc1e035448e37bd37e9abff1ed3bff6","sha256:08f6b96da1300c05a189aab97b6efce57fe16162c5616138fc3cf7f78ba5dbaf","897c098b1982bd4a91e030f880f6e7b48994e5a34ca627d8fb17be673e6cc4bb","9a42915c9e29e22b2d9e01d709e58d83c6160bcbd1b5b3d72f8a4feb4bbc03d3"
"d2-v5-expert-016","EXPERT","7x7","7","7","5","6","2","0.2653","0.2308","72","1.8888888888888888","3","7","26","1","16","4","21","4","7","0.3","0.7","0.3","1.0","0.5667","4","2","6","4","0.2577","4","0.6667","0.1875","1","1","0.95","45","1.0","83","32","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:8cbafdb630d335ee389681f11fbbcf93b27bc95d089bb2be8c5b0d74cda32216","sha256:9ff0d9c48b7aea9f2c38a3bdd4beef12b3596a7f8d8098d4d7c260c2bc70094b","bc3563ac3b5f0e1231bae50e4649ca8e77d9d608e6101115995279b1e25d8857","d389b49e1cfc0507817532d1dccf093298357c1fa62c8f0101e16b4d62ef0951"
"d2-v5-hard-017","HARD","6x6","6","6","5","2","4","0.3056","0.2909","36","1.1666666666666667","2","8","49","0","34","4","45","5","5","0.1","0.8286","0.1714","0.6667","0.2571","5","3","22","4","0.2778","3","0.0","0.5625","3","3","0.8","40","1.0","83","22","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:ce934892974b0864e52b7ef3b19598a379d639561ac18ae7a1e0b26f0e5dd6b9","sha256:e96a94022ecc4bfaeb45dff371d8fe0d053f4bb641a7b471b3d55a16915a0bc2","c884dbb483e46eeebf15f5dc0de3c8f06690d60f3ef5e5039a1158a86c99bc2c","1a0cc71c72373fa3804725ca753f89a7df98f734f0138f9faec1f9f788d2f1bb"
"d2-v5-medium-018","MEDIUM","5x5","5","5","6","2","1","0.36","0.6111","80","1.3","2","8","41","0","32","5","30","6","5","0.2","0.7838","0.2162","1.0","0.4144","6","2","12","20","0.4594","0","0.3333","0.0312","2","2","0.9583","49","1.0","92","48","COMPLETE","PASS_STRUCTURAL","sha256:a1586a03237f82768909a1a7a23d194b799476403f816bac520491a8437dca11","sha256:29b48130ee40bd1fef3d26d26b1d36cbe49e8fcd37f8335031f5329fd5966c2a","17f4b844cd448f990c6755da1d61ff394f137da6443e56e2886756c18b73204e","0f60a632527beb46555c645d6f0719034ef94c492b49469e9649f2a73d96e14c"
"d2-v5-master-019","MASTER","8x8","8","8","5","3","3","0.1719","0.3273","44","1.7272727272727273","4","9","33","1","16","3","29","5","6","0.6","0.619","0.381","1.0","0.6667","5","2","10","12","0.422","3","0.0","0.0625","1","1","0.8","62","1.0","81","20","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:d52cbd07439e07e80ea687d8c1254b8a6dc4b69302b62f363dc9eef155dd803c","sha256:4d60566725062f0d127738ed90fb4a88fd8e2d6a3bee84b2290608985d09819f","2f3a5da6266c82106aaba4a89866a4895f2134ec218e0496e64087254c4d9cfd","115fba0a464f483c49f050abd724fe5c09c85faa4cd7832d4cc83ca1378db46a"
"d2-v5-easy-020","EASY","5x5","5","5","4","3","3","0.4","0.3111","16","1.4375","2","7","18","1","5","3","17","3","4","0.6667","0.8","0.2","0.5","0.3","3","1","6","2","0.6671","2","0.3333","0.5312","1","1","0.6667","38","1.0","85","9","COMPLETE","PASS_STRUCTURAL","sha256:656626cec0c5ab8cbaf158b5b0fe7e130748b25b48cf6cef5b93ebb72ae441f2","sha256:b8d0f857eeecdc09f1d8c394fb489d82047731e191f160262e16dfe55921c013","078f3c83bc77b94fa79bab9448712d0c8a33488e27dcbbfdcc8f94dfaafaabcc","97dd808d37a3a99648d43f3aee70f6918c04d6569abaf39d20df4be95076f7e5"
"d2-v5-hard-021","HARD","5x5","5","5","4","3","4","0.44","0.1818","24","1.0","1","4","16","0","8","3","13","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.2831","4","0.0","0.5938","1","1","0.9167","36","1.0","84","16","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:68a52e00416b70c3e9ea26bab219e61a0d3ffc5c4dfc52500f201b7c247077ec","sha256:e0c351702a6e71bfe8a8ba46ae194b3c658ef2f564da2df2f4b2def197059f20","3e9cd26d561d90cca61cc9c1fcdef0a8b496c5cda4a7f4ef28b7b3a314ac17a1","5551e78b17aef7c8b11d49b70c0b3f206f6eb0eb97c579c9d691f4c75b35e660"
"d2-v5-easy-022","EASY","8x8","8","8","5","2","5","0.1875","0.2727","66","3.1515151515151514","6","8","42","0","32","4","34","5","5","0.0","0.9016","0.0984","0.375","0.1585","5","2","14","10","0.2077","3","0.3333","0.75","3","3","0.925","9","1.0","84","36","COMPLETE","PASS_STRUCTURAL","sha256:ce04d4804921da149bdacf4621283a6cc452414ced0a8f10aad30eabe255906c","sha256:98f1582672c66f805035da36ac7aa97c18b0e3dc0b7d2f193f30e890fa5d1f14","010b7266a7514fb3bd39ec618c47a8ff51e83a9bcc9dd9b87b1f9de180ba3daa","564a40f84b485041c294120a2b38d3c545bdd4aae08e1498674bd707185c67ea"
"d2-v5-medium-023","MEDIUM","6x6","6","6","4","2","7","0.3611","0.141","24","1.0","1","4","14","0","8","3","12","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.2048","5","0.0","0.5938","1","1","0.9167","38","1.0","84","16","COMPLETE","PASS_STRUCTURAL","sha256:b5fa28d3bb66aa1a5596f3b90b25853980049429a2375e777c2843b30f3173f1","sha256:c428904a082884d7c4ad6379a04c9ad9a4109eeb20543ce1d11adade8b012ea4","838cfc98c1881bedb53878893e95b610072f218cd64de967b365aa40343f01c8","9715939b60b798e8450d367f6c18c0cc21593d9487e46fa6f8675ebc7fd959d8"
"d2-v5-expert-024","EXPERT","8x8","8","8","5","4","4","0.2031","0.2179","52","2.3846153846153846","6","6","20","1","4","3","13","3","4","0.3","0.7778","0.2222","1.0","0.4074","4","1","4","8","0.3365","4","0.0","0.3438","1","1","0.95","49","1.0","86","24","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:4837c8bb6fa1cd40814c39ce971977162152df68de6bd41d1f35ad75e0ce09fd","sha256:ddb6d2fc1d12a8d5ea1028cac778cb9f67976872c9a0e38bef5debd10f520f7a","013f6633386a3ac45ef6c721a45c195a62972ebc6ac5327467ec906ec5791ce0","456a46739cce87a8c04b90d4b7cd0c3aa2f9ac133ae4d809037936c3960a47a6"
"d2-v5-hard-025","HARD","5x5","5","5","4","4","1","0.36","0.3056","20","1.6","4","5","19","0","6","3","16","4","3","0.3333","0.8","0.2","0.75","0.3333","4","1","6","4","0.3231","1","0.0","0.5","1","1","0.8333","45","1.0","90","12","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:782286ba821aeab5f757bf12171d2e142653c0bf8d93714cead6ff33c087bc84","sha256:fa22dade1332220f1f6afd888f8cb950774f6d80537915fcdacde88a0d34f4ff","68815f75bb0d7d1155e907bb10a38b8531538c55ed308a77752bb4aeb7890759","d9dfeeff5d8b229402739f4fc45f4032d1c9a722c34873995365119f2b3216fa"
"d2-v5-medium-026","MEDIUM","6x6","6","6","6","3","1","0.2778","0.4667","44","2.727272727272727","4","9","40","1","12","4","22","5","4","0.2","0.9118","0.0882","0.5455","0.1617","5","2","8","20","0.2886","1","0.3333","0.5","2","2","0.9744","24","1.0","95","42","COMPLETE","PASS_STRUCTURAL","sha256:22d3dc61e7f88c5b831afeb2ef2854d3889be12b5d80fa6153a539f8dd9390d7","sha256:23ce6794c63135589bef4a0bc046c1b3fd93342b991d2c65215e0288ce265078","e4893d173018099c12d7d9a31f8964bbc1d793df1a5a98671791dc49894097fb","775719634581f0cbeed3b8f465b4b30e3280e2739619844bd3aa17c1ab8edb78"
"d2-v5-master-027","MASTER","8x8","8","8","6","3","2","0.1719","0.3818","62","2.096774193548387","4","8","55","0","42","5","54","7","8","0.5333","0.7083","0.2917","0.8571","0.4862","7","2","24","6","0.3375","2","0.3333","0.4062","2","2","0.7143","60","1.0","83","24","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:4bf81cab4c9c02db24181888259ca195543ce00703e6379890c1a6347c8f8678","sha256:bf30ea7e47c5c4d25c595e85982e99b7d5cb57f8fd523a8521887904014e91c8","471167f6cc3828c536840524fab7ec2d311db2ff5690ea64ae614bc9c926b228","2bc5c17d4377de93176c17d6d70080f3b696f72dc1ad88abf1272f7edf494ca8"
"d2-v5-easy-028","EASY","5x5","5","5","5","1","5","0.44","0.2909","60","1.1333333333333333","2","5","52","0","56","4","46","5","6","0.0","0.9189","0.0811","0.3529","0.1216","5","3","22","4","0.2129","4","1.0","0.625","4","4","0.92","7","1.0","87","38","COMPLETE","PASS_STRUCTURAL","sha256:d52aa3f1f56f194b29243994645126bc144fdd5c61478fc7992364cf0f30b4dc","sha256:6715005542dbc08a8f66ce098f9d11e62225bd327d6862bdc6f670ac5b71ef76","99067b1fc9aec40f42a283a47fd586b78a67f25e446020e54d75bb78281682c7","6a979a693e200a1000d2e4b921a8b9dcb07e7b1795068990af0db5270e4d2d07"
"d2-v5-hard-029","HARD","5x5","5","5","6","3","1","0.4","0.4889","88","1.5","3","8","43","0","38","4","38","5","8","0.2","0.8148","0.1852","0.5455","0.3519","5","2","16","4","0.5036","0","0.0","0.1875","2","2","0.9444","53","1.0","97","40","COMPLETE","PASS_STRUCTURAL","sha256:470ecd00a2a6030a54e04d2629c42885bb615cbed111bc1e095b5d07774bc887","sha256:438a2aa020203cb6dd40d7ef815c466e89c998275c135e99d0c7d1648a9baf90","61b7b17843d29d79b43c541266d642070c13c2062dd029bf0a7fc28374374e0e","9a25bd9b039dbbf0b824c9fe7817cc62cbb04544907419dad3f95ee9d1f0775e"
"d2-v5-easy-030","EASY","4x4","4","4","4","2","1","0.4375","0.4762","20","1.5","2","5","26","0","10","3","22","4","2","0.3333","0.8824","0.1176","1.0","0.1764","4","2","10","2","0.3193","1","0.3333","0.4688","1","1","0.875","35","1.0","93","12","COMPLETE","PASS_STRUCTURAL","sha256:a3a812b96ab11705ea26f6d129f6367cc4b709bd60b65e308d25cb8f26551c41","sha256:6aa5f1076751909a730f11ae295506ba719d575b74d7e71a5330bcaaa257839a","37764794b305dca91b47b9293a2bcdf53c1fee06f377bf6a0854128e6d621440","f0add28b04fa900e82bfb407f5d3af965a7a97f60e2d2e364dca7e5402403ac7"
"d2-v5-medium-031","MEDIUM","6x6","6","6","5","3","1","0.25","0.4722","58","2.0689655172413794","4","7","27","1","24","4","22","4","4","0.1","0.8667","0.1333","0.7273","0.2444","4","2","8","4","0.2226","1","0.0","0.4375","2","2","0.95","40","1.0","91","36","COMPLETE","PASS_STRUCTURAL","sha256:8992bea8df18306b359b5765284837831ee7e0c59b4a962bec558dc895c4c610","sha256:b8ef7e2290936188bde65e1998e1630d06b327f49eec7fd1acc2007b6f726567","da7d173cde9ffaf4256ea6ddb393a74fcf99ab6f3c38ce2763c05a560b137126","70ecd7be9f349e45a1ed1b52107d10c26ed1bb72fb530312c4db2b4d48b95b6a"
"d2-v5-expert-032","EXPERT","7x7","7","7","5","3","2","0.2041","0.3778","44","1.4090909090909092","2","8","33","1","16","3","29","5","6","0.6","0.619","0.381","1.0","0.6667","5","2","10","12","0.2987","3","0.3333","0.0312","1","1","0.8","56","1.0","81","20","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:cc2713c9730e4bbf3f22bd27863ba4ed28124bcac81aa35a7265ee5bec4c4273","sha256:3f86ec3dac5ea0574cc21b419e7e7a56b1f074a9700115aa78d78f9a0130e4be","98117e91db0826b7837dfc75dae9bf277f9c07aaf979acc69e43756352032955","de60e3b6776cdfbbe4dbc741f7a0c3270f06d11abd54563b998f3d65247b3c84"
"d2-v5-hard-033","HARD","7x7","7","7","4","5","1","0.2041","0.2444","32","2.25","3","6","14","0","8","3","12","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.2528","3","0.6667","0.5","1","1","0.9167","25","1.0","83","16","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:ff769711a4af842c09368010020d1742da2c79788ac08f6d1bc670023b9cae13","sha256:43120a3ef61ffd841619b28d5cac2a94acdd8a5e9b84cbd7b7497898a2aa2a71","a2daf44fbf97e58a03d6af9ef1d3c2c1ac19c7dcc0dcfb563d6279d42a45297e","d4c2cfbf060ad32773aee735f00f41e434d1ff1b23f38887b260fed576346413"
"d2-v5-medium-034","MEDIUM","6x6","6","6","3","1","4","0.2222","0.2143","8","1.0","1","2","10","0","4","2","11","3","2","0.3333","0.7778","0.2222","1.0","0.3333","3","1","4","0","0.2716","3","1.0","0.5","1","1","0.6667","39","1.0","78","8","COMPLETE","PASS_STRUCTURAL","sha256:5b9559673874874af649d6ffb2449ea65e61685a41b024503d3235d530793765","sha256:429680092d99d82e18ef93a170b725a1c986555fa77dbcc2e4309e86e1708a42","993c9211283694be03298c4b8120d4dddd92e250e6f1b7128767e522ead2bac3","31e61d2130985b9ff4e082d5fefe84781c7a54666013c5fcde4360b5b7bda5a7"
"d2-v5-master-035","MASTER","8x8","8","8","5","4","2","0.1719","0.2909","40","1.8","3","5","23","1","16","4","20","4","7","0.3","0.7","0.3","1.0","0.5667","4","2","6","4","0.3621","2","0.3333","0.1562","1","1","0.95","49","1.0","86","32","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:cefd94e083f8ed29f2ecac40998bcbf6ae8f5be4913158478c26d2d0c5aa8cbe","sha256:7343ea5550d52ccb8aaba9e4fc7d0a99fd663ca2c8eb22d5f6cbbc63a4bf920c","e4fcbe91c82c22ac6dd97ec35c79d3f5d2326bd9f7c2b2701a9107b69f490105","7fb9fd0d503a7d3e6559b470718022fa847d4ab167207f856a9afdd9c7131217"
"d2-v5-easy-036","EASY","4x4","4","4","3","2","2","0.4375","0.3333","8","1.0","1","3","10","0","4","2","11","3","2","0.3333","0.7778","0.2222","1.0","0.3333","3","1","4","0","0.431","2","1.0","0.5312","1","1","0.6667","38","1.0","86","8","COMPLETE","PASS_STRUCTURAL","sha256:e5a77fcd333649015ecfe4861fc36b54db95cff95793e57d8e2edf253f6eee16","sha256:a22a40931c8b6035c967b6ca42ce817ffda93ff83b41c80fa3702db8b05b94e6","fd610f9ca444d1a7c4564380dc9cb67833c62fa4fad91e1f8e491217d7c208de","e3dd078581b631fe77cfbbd8226e9703386630718b373b771f22ab2f3738a071"
"d2-v5-hard-037","HARD","5x5","5","5","5","5","1","0.44","0.3091","54","1.1666666666666667","2","7","25","0","19","4","22","4","4","0.3","0.8065","0.1935","0.75","0.3548","4","1","8","0","0.307","1","0.0","0.5312","1","1","0.95","50","1.0","97","21","COMPLETE","REVIEW_ISOLATED_OBJECTS","sha256:29d08f87d4fc055fec7d5fc862072a527af0edfbfecac813986bf5dcd5d2f671","sha256:ee20380d0532734b54dd5a2ab5a4569efb904569d4cb98265b798dcdcffc4cc9","2da441a97531b99df4a91267d1d33c48970bf9052b01023ac115cc0cfac967ce","636eb4197fda7e3caf35f7231e1971c69e4d914b9a2a492faab4dee462d93f6a"
"d2-v5-easy-038","EASY","5x5","5","5","5","2","3","0.4","0.3556","40","1.6","3","6","31","0","24","4","23","4","3","0.0","0.9412","0.0588","0.2857","0.098","4","2","10","4","0.2629","2","1.0","0.7188","2","2","0.9667","3","1.0","89","36","COMPLETE","PASS_STRUCTURAL","sha256:efc87441c0a15c5581569c736bf1e3f139c65e5b5eb8672c5658feb8e2d5aa93","sha256:0409b1057e0545e0b506953aa61b7d596a77882b4dec95f22873100728fadd89","203b04b840fa88818bd962401933a8fc1afcca74ea4b091554f117c85055ebdf","3d9133f80ea16e78a89f47be11c37081066ca05da53a9a035002149993418425"
"d2-v5-medium-039","MEDIUM","8x8","8","8","4","2","7","0.2031","0.141","24","1.0","1","5","14","0","8","3","12","3","3","0.1667","0.8333","0.1667","1.0","0.2778","3","1","4","0","0.1795","6","1.0","0.5","1","1","0.9167","26","1.0","77","16","COMPLETE","PASS_STRUCTURAL","sha256:0112dc04f71f485aa104748e2c6630c6a11fc0aca5f369f81e4a8e27efe7f02d","sha256:d4efb1a82484b59bf756b42d0786a842d63bed0be9ccd8ac73eca2a61a44e91d","bfa165a96aa80f4786a7ea1760ba91b83e68625d81d710aa6c1a6fb0fc464518","3db49f6cc1c1348ab2595cef6a46a64ef90b28bb66c899ef0939e6d0892acda9"
