level_id,sequence,origin,pack,board,difficulty,primary_mechanic,generator_version,seed,profile,solution_length,solution_count,solution_capped,valid_first_actions,explored_states,average_branching,magnet_actions,polarity_flips,difficulty_score,fingerprint,attempts,rejected_before_acceptance
campaign-018,18,HANDCRAFTED,polarity-workshop,6x6,INTRO,PULL,authored,authored,handcrafted,1,1,false,1,2,1.00,0,0,24,sha256:b8833772fcfc2c6e3c3b369cce81a99c73973ec07353fb76c84df0133e1bc428,0,0
campaign-019,19,HANDCRAFTED,polarity-workshop,6x6,DEVELOPING,PULL,authored,authored,handcrafted,3,2,false,2,7,1.67,3,3,55,sha256:dea80a33891641eda272060cbe084faaa44c2286ac43f4e3df66f2a70e1ea3a5,0,0
campaign-020,20,HANDCRAFTED,polarity-workshop,7x7,DEVELOPING,PULL,authored,authored,handcrafted,3,2,false,2,5,1.33,2,2,46,sha256:4257ba8cbbc8b2d1eb64d83d1d889da8a7722e989681458ff2748587d3257020,0,0
campaign-021,21,HANDCRAFTED,polarity-workshop,6x6,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,3,1.00,2,2,43,sha256:b84de1593df5abbceb745e9c5ae2c9578569bc6e422a4c556389b2bcff52af97,0,0
campaign-022,22,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,4,4,false,2,15,2.25,4,4,69,sha256:bd5249b0b035faf16a6bbf317b1c78b4746e9601f6f40555bfb120093b31b094,0,0
campaign-023,23,HANDCRAFTED,polarity-workshop,7x7,DEVELOPING,PULL,authored,authored,handcrafted,2,2,false,2,4,1.50,2,2,38,sha256:0c2bad71a75f15f64f4660a0a339efa7fe3953bc67312789e94563307fbc8acf,0,0
campaign-024,24,HANDCRAFTED,polarity-workshop,7x7,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,4,1.50,2,2,40,sha256:473cabf0b888dab6dacd6110d78c905a0f246aa2a3c800341f7ac7f921bddf53,0,0
campaign-025,25,HANDCRAFTED,polarity-workshop,7x7,DEVELOPING,PULL,authored,authored,handcrafted,2,1,false,1,3,1.00,2,2,42,sha256:da5100ab36ebc59e7d659461b149dc3e824068b82457f9001a5deec8fc7e5780,0,0
campaign-026,26,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,6,32,true,6,64,3.50,4,4,87,sha256:58a1bdf517a4f0f36798fe0491ec9385b9675c4c40ed8cb62354d63b14b69bf6,0,0
campaign-027,27,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,6,32,true,6,64,3.50,4,4,87,sha256:47c00fe9037e5feb87719b3eaa1b68359811bf18a1c4ccf66fe69691b233bfca,0,0
campaign-028,28,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,6,32,true,6,64,3.50,4,4,87,sha256:fc6d484bcd8c874fc28cbfefc1bd8d3c1686e0374b6aa45f720663284fd36607,0,0
campaign-029,29,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,6,32,true,6,64,3.50,4,4,87,sha256:283d561ead449f6e52ef10893359cbc5858e9ae0c536458089e835f4eadeced9,0,0
campaign-030,30,HANDCRAFTED,polarity-workshop,7x7,ADVANCED,PULL,authored,authored,handcrafted,5,32,true,4,24,2.80,1,1,66,sha256:306df1aceee2d1dc0fd3f6d6b409f404e36a053a0965601312c1df106d767d2b,0,0
campaign-031,31,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310001,developing-medium-v1,3,2,false,2,5,1.33,2,2,52,sha256:d7a102ba8b8c066a7ad7c9f1e5cce41c7b8107b785d571d7890d8e3bd17b10e0,1,0
campaign-032,32,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310002,developing-medium-v1,3,2,false,2,5,1.33,2,2,52,sha256:a7422438b73f1de3f55809d455f7ef6a6a9ed28d1f1d2742cf0b3b8640f55217,1,0
campaign-033,33,GENERATOR_ASSISTED,hidden-lines,6x6,DEVELOPING,PULL,1,310003,developing-medium-v1,1,1,false,1,2,1.00,1,1,32,sha256:6ff398443e42486277a567a67d7258b6cbad887bc1b914332915696094b3f0a4,1,0
campaign-034,34,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PUSH,1,310004,developing-medium-v1,1,1,false,1,2,1.00,1,1,22,sha256:679786c138832ae94af82772f947102ac3643ca9a7607c578f57ba6acc9eb433,1,0
campaign-035,35,GENERATOR_ASSISTED,hidden-lines,6x6,DEVELOPING,PULL,1,310005,developing-medium-v1,2,1,false,1,3,1.00,2,2,48,sha256:09b0a746a6abb03aff26d1a5d6c6794448a82cfbeeba20a7f0c81b868d4e6bf5,2,1
campaign-036,36,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310006,developing-medium-v1,2,2,false,2,4,1.50,2,2,38,sha256:e14431d8cc2b8eadd4da69c68fe2a8d12094ee7bfc1a3069e159df19dff53613,1,0
campaign-037,37,GENERATOR_ASSISTED,hidden-lines,5x5,DEVELOPING,PULL,1,310007,developing-medium-v1,2,2,false,2,4,1.50,2,2,40,sha256:de7446ebe10a3bcbe3d3a673b87a4411f273c24868b96021d413cdf9b1c36bb3,1,0
campaign-038,38,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310008,developing-medium-v1,2,1,false,1,3,1.00,2,2,44,sha256:10b7b07d61e3f36907cef745211cd1f71f5cf5edb4ffc367cd162d8345b99f1f,1,0
campaign-039,39,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310009,developing-medium-v1,3,2,false,2,5,1.33,2,2,56,sha256:82dea376958f8b6324401443e9e39f67a4d5acd56d7e5ac36e3d1b546bfde8d8,1,0
campaign-040,40,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310010,developing-medium-v1,3,2,false,2,7,1.67,3,3,53,sha256:1bae7ab48a3c05e2d6c3b24e2705b3345df86cea8496a635fcc7d8e50720c0c0,1,0
campaign-041,41,GENERATOR_ASSISTED,hidden-lines,6x6,DEVELOPING,PULL,1,310011,developing-medium-v1,3,2,false,2,5,1.33,2,2,50,sha256:c288970d368bdcce2cf0d7cd8be2de0fb6af83e8125993004abb32c8b055fc02,1,0
campaign-042,42,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310012,developing-medium-v1,2,1,false,1,4,1.50,2,2,42,sha256:4818842fb855b66344ce273437fcce6245e187a9d0bc294aab759ac4805993c3,1,0
campaign-043,43,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310013,developing-medium-v1,3,2,false,2,5,1.33,2,2,46,sha256:d5334e5869e83e9304b91c2c4ef2e2af44170ddf86e8e25de12aa664acf9ef5b,1,0
campaign-044,44,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310014,developing-medium-v1,2,1,false,1,3,1.00,2,2,46,sha256:2a8c4936b8ad53566c28a3ad609d2a8dc0f3528d946f54f225dd1db0b4ed8b77,1,0
campaign-045,45,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310015,developing-medium-v1,5,32,true,4,24,2.80,1,1,74,sha256:5c03744ec34b94e05f99ead47d99382a2b726b64c8ae9337d6caef21410e0d2c,2,1
campaign-046,46,GENERATOR_ASSISTED,hidden-lines,6x6,DEVELOPING,PULL,1,310016,developing-medium-v1,3,2,false,2,7,1.67,3,3,55,sha256:187514d7f263437fad5b987f11435afed0a8f957bedd856f7a7cd0cfc833f76c,1,0
campaign-047,47,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310018,developing-medium-v1,3,2,false,2,7,1.67,3,3,53,sha256:ecd7a15a4f6d00fc3c6b2c3d2c4619249d656cf65fbc960a3d6ccbdb6b5d1f77,1,1
campaign-048,48,GENERATOR_ASSISTED,hidden-lines,5x5,DEVELOPING,PULL,1,310019,developing-medium-v1,2,1,false,1,4,1.50,2,2,44,sha256:92e3247479ce177691994a955f4046365e70399a19cb3581e65559c6634ef3b2,1,0
campaign-049,49,GENERATOR_ASSISTED,hidden-lines,5x5,DEVELOPING,PUSH,1,310020,developing-medium-v1,1,1,false,1,2,1.00,1,1,30,sha256:e8fd3f4e512c8edd82431fd0a235814392e48568abb555ba315ef37eeb62dcf4,1,0
campaign-050,50,GENERATOR_ASSISTED,hidden-lines,7x7,DEVELOPING,PULL,1,310021,developing-medium-v1,2,1,false,1,3,1.00,2,2,48,sha256:4cc809511676ad17d5fcd8224623cdf7c510d6a03cff626c0f71bb116d6ecc8e,1,0
campaign-051,51,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PUSH,1,310022,developing-medium-v1,1,1,false,1,2,1.00,1,1,24,sha256:bb4e2841bfaeb5dcba20c8dc3c9902ce72f67509b6054b47cdd71aef7ab76384,1,0
campaign-052,52,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310023,developing-medium-v1,2,1,false,1,4,1.50,2,2,44,sha256:113b5ce8faa499d1d26f0f019006dcec33f19fd3c1245bcac9f8c078d1b5620d,1,0
campaign-053,53,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310024,developing-medium-v1,3,2,false,2,7,1.67,3,3,53,sha256:00f5e4d9c4472b09cd8d553572c1086f070fec043f1ac6e91e87ba7b6a3368af,1,0
campaign-054,54,GENERATOR_ASSISTED,competing-fields,5x5,DEVELOPING,PULL,1,310027,developing-medium-v1,2,1,false,1,3,1.00,2,2,40,sha256:e59e709d05fbbf16b75495cfa1d92c97ce0d58a803cb5dcb88ed7a51c099f5b1,1,2
campaign-055,55,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310029,developing-medium-v1,1,1,false,1,2,1.00,1,1,32,sha256:cfe701368924e1b43696bf00f40300b0728d92b762a15e0c380e7044637b743e,1,1
campaign-056,56,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310030,developing-medium-v1,3,2,false,2,5,1.33,2,2,54,sha256:54913bf9ff7c1fd34804659444d14d303002e3d19be1db794af0dc239ed61a97,1,0
campaign-057,57,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310031,developing-medium-v1,4,4,false,2,15,2.25,4,4,67,sha256:6a17e913dcce07a2f77c27c366db9f74a0206e70fcefe5f2ee1b18085c93a649,1,0
campaign-058,58,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310032,developing-medium-v1,3,2,false,2,5,1.33,2,2,46,sha256:fb793ace33e7988fa5246c011fa3fb9da99bf23e5144d7e0bb3bcf96ccfb90c2,1,0
campaign-059,59,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310034,developing-medium-v1,2,1,false,1,4,1.50,2,2,40,sha256:5515d7c7938b2003dcd4bb0c88ba09bc2539b43b474adf12fdc1502e7d9f65a2,1,1
campaign-060,60,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310035,developing-medium-v1,3,2,false,2,5,1.33,2,2,56,sha256:9640cf28bc8e0bef4b39bc4917b26bed13b7587a2874329225dec5290b3b80c9,1,0
campaign-061,61,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310037,developing-medium-v1,3,2,false,2,5,1.33,2,2,54,sha256:4f131427fba9c3828e3f618452da6760db17d72f6f59fd7307e46ba5717fca92,1,1
campaign-062,62,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310038,developing-medium-v1,3,2,false,2,7,1.67,3,3,57,sha256:8ef891de1c9643fa8c605bc6c8b2c740b5d0f24fc71b794518174167d69cdefb,1,0
campaign-063,63,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310039,developing-medium-v1,3,2,false,2,5,1.33,2,2,50,sha256:85a9812a2b30a055f55652ca03c89d886b11d39fefff74eddeac895d43ad4ad4,1,0
campaign-064,64,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310040,developing-medium-v1,3,2,false,2,7,1.67,3,3,57,sha256:f4e9d9be22c952d869ce2dfa3a428e1347487fc77cf6dc3dbc2c5cd33947fce7,1,0
campaign-065,65,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310041,developing-medium-v1,2,1,false,1,4,1.50,2,2,46,sha256:b3d56094df6bd1de60a8fa0e55efead09c5b4bd88062aeede8b8b4476d7f7f64,1,0
campaign-066,66,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310042,developing-medium-v1,2,1,false,1,3,1.00,2,2,50,sha256:2016d48deab68269a6484a830b55fea124bff8204531d86f326af8845505df1d,1,0
campaign-067,67,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PUSH,1,310043,developing-medium-v1,1,1,false,1,2,1.00,1,1,26,sha256:d1ab76660fc9811f5b5012576b58888758c960675a0c6c725817ae65dbe943bd,2,1
campaign-068,68,GENERATOR_ASSISTED,competing-fields,6x6,DEVELOPING,PULL,1,310044,developing-medium-v1,2,1,false,1,3,1.00,2,2,41,sha256:10153d24f00aae068264bb00ed463bc75a6b1f2aee77ed9dd86e2b6b7080921f,1,0
campaign-069,69,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310046,developing-medium-v1,2,2,false,2,4,1.50,2,2,40,sha256:e7f292aece89e43e988ac78a5b772acbd7006a2aac6a54d85be3c7647ba60ef2,1,1
campaign-070,70,GENERATOR_ASSISTED,competing-fields,7x7,DEVELOPING,PULL,1,310047,developing-medium-v1,2,2,false,2,4,1.50,2,2,38,sha256:db29f218dbde8eafc3c3efb2df3b4105ec0902716de4d98ab3bceecf230d9a46,1,0
campaign-071,71,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310054,advanced-hard-v1,3,2,false,2,7,1.67,3,3,63,sha256:fee411ba7a45a216c1b7747a6bd37b1cd3863eb84ba78fb3fc002136e206e9fc,1,6
campaign-072,72,GENERATOR_ASSISTED,order-lab,6x6,ADVANCED,PULL,1,310055,advanced-hard-v1,3,2,false,2,5,1.33,2,2,50,sha256:438c53fdd1271392a824354ed007bd09a44fe92c0170fea9966f627f8e2dc074,1,0
campaign-073,73,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310057,advanced-hard-v1,3,2,false,2,5,1.33,2,2,46,sha256:0e188ce330989c88f68d2bbf4f8ea9807b19551779ce8c6bf2d3d19912b5c53e,1,1
campaign-074,74,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310058,advanced-hard-v1,6,32,true,5,48,3.00,4,4,98,sha256:05e038547cf3947bbb4b5299928324a0163b12531ccc4a82998835d131d6245f,1,0
campaign-075,75,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310059,advanced-hard-v1,6,32,true,5,48,3.00,4,4,94,sha256:b7a560e35c4d449fabde919177083aed00cd286706ec905f59f5a71d4facc90a,1,0
campaign-076,76,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310060,advanced-hard-v1,6,32,true,6,64,3.50,4,4,97,sha256:e08978253a026297be60aa105964d69f1683ea551249dbeac44f0182429021c8,1,0
campaign-077,77,GENERATOR_ASSISTED,order-lab,6x6,ADVANCED,PULL,1,310061,advanced-hard-v1,3,2,false,2,7,1.67,3,3,65,sha256:358be07dfd95f9a6ca34c12181d6c654e4cc43c90801d0540671a5f374daf50d,1,0
campaign-078,78,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310062,advanced-hard-v1,6,32,true,6,64,3.50,4,4,87,sha256:da195c9f37ba5b34f81fdda5f336aa960c9405a1fba9755a9d6fa491e28c5abe,1,0
campaign-079,79,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310065,advanced-hard-v1,6,32,true,6,64,3.50,4,4,91,sha256:8a2d1edf84e47384d1bb84a94879f5faff15087bd6755d0200a5ca1904c8da00,1,2
campaign-080,80,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310068,advanced-hard-v1,6,32,true,6,64,3.50,3,3,97,sha256:ccad578364ab7b110b1be218448e807da080e20acb47b110beeb02cb84a8c82e,1,2
campaign-081,81,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310069,advanced-hard-v1,5,32,true,4,24,2.80,1,1,68,sha256:4042170f975d73ab6a1617d5079dec5aaa460b59353b8716a3a16b1c4f0cede5,1,0
campaign-082,82,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310070,advanced-hard-v1,6,32,true,6,64,3.50,4,4,93,sha256:f0d47d29ef736716d310c35bf9cc080ec956e119b98cade519112189fc82c2f2,1,0
campaign-083,83,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310071,advanced-hard-v1,6,32,true,6,64,3.50,4,4,91,sha256:b6ce66406502093618361f1aff38ef9a43d242d0646b362a4a40630edc471dde,1,0
campaign-084,84,GENERATOR_ASSISTED,order-lab,6x6,ADVANCED,PULL,1,310072,advanced-hard-v1,3,2,false,2,7,1.67,3,3,55,sha256:23e80e4467376e0939f77a595c2e9493a3381aae76fc884f70e4c6cad9c582d7,1,0
campaign-085,85,GENERATOR_ASSISTED,order-lab,7x7,ADVANCED,PULL,1,310073,advanced-hard-v1,6,32,true,6,64,3.50,4,4,89,sha256:19b2d83aeb32b72d3cfa8dece8034dcf4e4a2366f8222da5f2c84939ce607622,1,0
campaign-086,86,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310074,advanced-hard-v1,6,32,true,6,64,3.50,4,4,87,sha256:dfacb8f3690ef56a844189ed920e28fa4df41718b7f6a11478ee3bbe7a569229,1,0
campaign-087,87,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310075,advanced-hard-v1,6,32,true,6,64,3.50,4,4,89,sha256:5041624648c9bffecca785e70f66001d024b5656db7a673c8dc3fbe716423e9f,1,0
campaign-088,88,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310077,advanced-hard-v1,6,32,true,6,64,3.50,4,4,95,sha256:2956483f3c71ba5041e7c5277ecc17f029c891a1d2e0d87d0737b87b2e4adf0e,1,1
campaign-089,89,GENERATOR_ASSISTED,master-rail,6x6,ADVANCED,PULL,1,310078,advanced-hard-v1,3,2,false,2,5,1.33,2,2,52,sha256:e956301b77c9a7b8ee8812c603184f196b6c96ac6b2d067b1d9ba030d035ed1a,1,0
campaign-090,90,GENERATOR_ASSISTED,master-rail,6x6,ADVANCED,PULL,1,310081,advanced-hard-v1,3,2,false,2,7,1.67,3,3,53,sha256:aa8da70c2e5f66df7209aef04139626f0e04d9148bd6e0dd0d7e6b4cee0b62c5,1,2
campaign-091,91,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310082,advanced-hard-v1,6,32,true,6,64,3.50,4,4,95,sha256:8d25ab38cb23a887ed75d00805f4ab6fde63db327fc39538707a08d7ee37e82f,1,0
campaign-092,92,GENERATOR_ASSISTED,master-rail,6x6,ADVANCED,PULL,1,310085,advanced-hard-v1,3,2,false,2,7,1.67,3,3,55,sha256:3f13cfeda262e666cd6737202a8be6236305c64494334efb82fb648c28a1c617,1,2
campaign-093,93,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310086,advanced-hard-v1,3,2,false,2,7,1.67,3,3,59,sha256:9cda042691ebdef255982e3a92c5386b09c913ac351d82624c5ebce52f8284ae,1,0
campaign-094,94,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310091,advanced-hard-v1,6,32,true,5,48,3.00,4,4,104,sha256:89445517e531f9066584c1927cc3a153ba50502f669574107dc2aeb8cf7e3353,1,4
campaign-095,95,GENERATOR_ASSISTED,master-rail,6x6,ADVANCED,PULL,1,310092,advanced-hard-v1,3,2,false,2,7,1.67,3,3,57,sha256:848ca0895f6a1dd8ad8ed4de7b6ec1cb06da4cea587fbbaf3710968852704c8a,1,0
campaign-096,96,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310093,advanced-hard-v1,5,32,true,4,24,2.80,1,1,72,sha256:28e152c0193776d465865ee98c43d52133979bd9d7e4249dcdfe6898f2b93c04,1,0
campaign-097,97,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310095,advanced-hard-v1,5,32,true,4,24,2.80,1,1,74,sha256:07f928ec834aadef2c02350889d6073ac4d7d3394824c9f423605cfc51555b19,1,1
campaign-098,98,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310096,advanced-hard-v1,6,32,true,6,64,3.50,4,4,91,sha256:78c2eb43b26f3737905de5e372918483a0fa866de1deca26da364b6e4b7abe5d,1,0
campaign-099,99,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310097,advanced-hard-v1,3,2,false,2,5,1.33,2,2,52,sha256:6fbf9e8446d32dc083276d22494c41855db51b3dc770f84e8de379877d733ee0,1,0
campaign-100,100,GENERATOR_ASSISTED,master-rail,7x7,ADVANCED,PULL,1,310098,advanced-hard-v1,3,2,false,2,7,1.67,3,3,61,sha256:fec7f109d13e79ad1409b1c54feb4ecd7499705bab9d6e04becf8666603b1593,1,0
