level_id,campaign_number,v1_score,v1_band,v2_score,v2_band,score_delta,analyzer_version,capped_flags
campaign-023,23,38,DEVELOPING,29,Easy,-9,magnetrail-difficulty-v2.0,
campaign-024,24,40,DEVELOPING,52,Medium,12,magnetrail-difficulty-v2.0,
campaign-025,25,42,DEVELOPING,21,Easy,-21,magnetrail-difficulty-v2.0,
campaign-026,26,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-027,27,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-028,28,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-029,29,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-030,30,66,ADVANCED,37,Normal,-29,magnetrail-difficulty-v2.0,
campaign-031,31,52,DEVELOPING,33,Normal,-19,magnetrail-difficulty-v2.0,
campaign-032,32,52,DEVELOPING,33,Normal,-19,magnetrail-difficulty-v2.0,
campaign-033,33,32,DEVELOPING,16,Easy,-16,magnetrail-difficulty-v2.0,
campaign-034,34,22,DEVELOPING,15,Tutorial,-7,magnetrail-difficulty-v2.0,
campaign-035,35,48,DEVELOPING,22,Easy,-26,magnetrail-difficulty-v2.0,
campaign-036,36,38,DEVELOPING,29,Easy,-9,magnetrail-difficulty-v2.0,
campaign-037,37,40,DEVELOPING,30,Easy,-10,magnetrail-difficulty-v2.0,
campaign-038,38,44,DEVELOPING,22,Easy,-22,magnetrail-difficulty-v2.0,
campaign-039,39,56,DEVELOPING,33,Normal,-23,magnetrail-difficulty-v2.0,
campaign-040,40,53,DEVELOPING,60,Medium,7,magnetrail-difficulty-v2.0,
campaign-041,41,50,DEVELOPING,33,Normal,-17,magnetrail-difficulty-v2.0,
campaign-042,42,42,DEVELOPING,52,Medium,10,magnetrail-difficulty-v2.0,
campaign-043,43,46,DEVELOPING,33,Normal,-13,magnetrail-difficulty-v2.0,
campaign-044,44,46,DEVELOPING,22,Easy,-24,magnetrail-difficulty-v2.0,
campaign-045,45,74,DEVELOPING,37,Normal,-37,magnetrail-difficulty-v2.0,
campaign-046,46,55,DEVELOPING,60,Medium,5,magnetrail-difficulty-v2.0,
campaign-047,47,53,DEVELOPING,60,Medium,7,magnetrail-difficulty-v2.0,
campaign-048,48,44,DEVELOPING,53,Medium,9,magnetrail-difficulty-v2.0,
campaign-049,49,30,DEVELOPING,16,Easy,-14,magnetrail-difficulty-v2.0,
campaign-050,50,48,DEVELOPING,22,Easy,-26,magnetrail-difficulty-v2.0,
campaign-051,51,24,DEVELOPING,15,Tutorial,-9,magnetrail-difficulty-v2.0,
campaign-052,52,44,DEVELOPING,52,Medium,8,magnetrail-difficulty-v2.0,
campaign-053,53,53,DEVELOPING,60,Medium,7,magnetrail-difficulty-v2.0,
campaign-054,54,40,DEVELOPING,22,Easy,-18,magnetrail-difficulty-v2.0,
campaign-055,55,32,DEVELOPING,16,Easy,-16,magnetrail-difficulty-v2.0,
campaign-056,56,54,DEVELOPING,34,Normal,-20,magnetrail-difficulty-v2.0,
campaign-057,57,67,DEVELOPING,67,Hard,0,magnetrail-difficulty-v2.0,
campaign-058,58,46,DEVELOPING,33,Normal,-13,magnetrail-difficulty-v2.0,
campaign-059,59,40,DEVELOPING,52,Medium,12,magnetrail-difficulty-v2.0,
campaign-060,60,56,DEVELOPING,33,Normal,-23,magnetrail-difficulty-v2.0,
campaign-061,61,54,DEVELOPING,33,Normal,-21,magnetrail-difficulty-v2.0,
campaign-062,62,57,DEVELOPING,60,Medium,3,magnetrail-difficulty-v2.0,
campaign-063,63,50,DEVELOPING,33,Normal,-17,magnetrail-difficulty-v2.0,
campaign-064,64,57,DEVELOPING,60,Medium,3,magnetrail-difficulty-v2.0,
campaign-065,65,46,DEVELOPING,53,Medium,7,magnetrail-difficulty-v2.0,
campaign-066,66,50,DEVELOPING,22,Easy,-28,magnetrail-difficulty-v2.0,
campaign-067,67,26,DEVELOPING,15,Tutorial,-11,magnetrail-difficulty-v2.0,
campaign-068,68,41,DEVELOPING,22,Easy,-19,magnetrail-difficulty-v2.0,
campaign-069,69,40,DEVELOPING,29,Easy,-11,magnetrail-difficulty-v2.0,
campaign-070,70,38,DEVELOPING,29,Easy,-9,magnetrail-difficulty-v2.0,
campaign-071,71,63,ADVANCED,60,Medium,-3,magnetrail-difficulty-v2.0,
campaign-072,72,50,ADVANCED,33,Normal,-17,magnetrail-difficulty-v2.0,
campaign-073,73,46,ADVANCED,33,Normal,-13,magnetrail-difficulty-v2.0,
campaign-074,74,98,ADVANCED,49,Medium,-49,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-075,75,94,ADVANCED,49,Medium,-45,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-076,76,97,ADVANCED,46,Medium,-51,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-077,77,65,ADVANCED,61,Hard,-4,magnetrail-difficulty-v2.0,
campaign-078,78,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-079,79,91,ADVANCED,46,Medium,-45,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-080,80,97,ADVANCED,46,Medium,-51,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-081,81,68,ADVANCED,37,Normal,-31,magnetrail-difficulty-v2.0,
campaign-082,82,93,ADVANCED,46,Medium,-47,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-083,83,91,ADVANCED,46,Medium,-45,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-084,84,55,ADVANCED,60,Medium,5,magnetrail-difficulty-v2.0,
campaign-085,85,89,ADVANCED,46,Medium,-43,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-086,86,87,ADVANCED,46,Medium,-41,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-087,87,89,ADVANCED,46,Medium,-43,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-088,88,95,ADVANCED,46,Medium,-49,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-089,89,52,ADVANCED,33,Normal,-19,magnetrail-difficulty-v2.0,
campaign-090,90,53,ADVANCED,60,Medium,7,magnetrail-difficulty-v2.0,
campaign-091,91,95,ADVANCED,46,Medium,-49,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-092,92,55,ADVANCED,60,Medium,5,magnetrail-difficulty-v2.0,
campaign-093,93,59,ADVANCED,60,Medium,1,magnetrail-difficulty-v2.0,
campaign-094,94,104,ADVANCED,49,Medium,-55,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-095,95,57,ADVANCED,60,Medium,3,magnetrail-difficulty-v2.0,
campaign-096,96,72,ADVANCED,37,Normal,-35,magnetrail-difficulty-v2.0,
campaign-097,97,74,ADVANCED,37,Normal,-37,magnetrail-difficulty-v2.0,
campaign-098,98,91,ADVANCED,46,Medium,-45,magnetrail-difficulty-v2.0,SOLUTION_COUNT_CAPPED
campaign-099,99,52,ADVANCED,33,Normal,-19,magnetrail-difficulty-v2.0,
campaign-100,100,61,ADVANCED,60,Medium,-1,magnetrail-difficulty-v2.0,
