level_id,campaign_number,seed,profile,generator_version,exact_fingerprint,symmetry_fingerprint,board,arrows,magnets,walls,certified_solution,solution_count,solution_capped,difficulty_score,difficulty_band,quality_score,quality_status,quality_reasons,fatal_choice_ratio,forced_move_ratio,average_branching,maximum_branching,critical_constraints,pull_actions,push_actions,polarity_flips,controller_changes,occlusion_dependencies,cancellation_dependencies,wall_dependencies,visual_congestion,solver_states,generation_certification_ms,essential_analysis_capped,attempts,similarity_neighbors,proposed_curriculum_position
m52-candidate-520025,111,520025,m52-advanced-continuation-v1,2,sha256:2d61f52377921e48f4421fde83e27d4021b96864623c85d4a4b6e7dad33272de,sha256:a5a3cd783d976c742cd231dd589771c6d85f21b39c92b4029c97f6389a0e1797,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1441,7,0,false,1,"m52-candidate-520243+m52-candidate-520277",111:crossfields
m52-candidate-520026,112,520026,m52-mastery-v1,2,sha256:992c65dab39ce7a786d576c48d9d07797ea65d17ed4a400d71a57abe05680345,sha256:64eb189cc59a5d9df892a85f3182173cb1c9b01b15bd122c11df2557c06d11dd,7x7,6,2,4,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1300,64,4,false,1,"m52-candidate-520014+m52-candidate-520024+m52-candidate-520062+m52-candidate-520083+m52-candidate-520103+m52-candidate-520152+m52-candidate-520200+m52-candidate-520211+m52-candidate-520257+m52-candidate-520272+m52-candidate-520328+m52-candidate-520338",112:crossfields
m52-candidate-520030,113,520030,m52-advanced-continuation-v1,2,sha256:6bbdb23786358ba5c9c4e140d76e7b37aa1844dca3a678928d2d4a1bb01ee34b,sha256:afbe39f3f2d7270c8f3830254c2e6de851c10db42dff3ae714975c0f97d22e06,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1593,64,4,false,1,"m52-candidate-520031+m52-candidate-520037+m52-candidate-520038+m52-candidate-520081+m52-candidate-520095+m52-candidate-520110+m52-candidate-520112+m52-candidate-520141+m52-candidate-520179+m52-candidate-520199+m52-candidate-520245+m52-candidate-520258+m52-candidate-520275+m52-candidate-520305",113:crossfields
m52-candidate-520031,114,520031,m52-advanced-continuation-v1,2,sha256:13dd29f7e6c31d6a23a1a586cb8e805c32dabc3e64622f225ffaa2b8ae8bc293,sha256:2c57a0e4219bd0b91bf047f6f99eda12283d64104008219fb1c857e022bf4d70,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1566,64,4,false,1,"m52-candidate-520030+m52-candidate-520037+m52-candidate-520038+m52-candidate-520081+m52-candidate-520095+m52-candidate-520110+m52-candidate-520112+m52-candidate-520141+m52-candidate-520179+m52-candidate-520199+m52-candidate-520245+m52-candidate-520258+m52-candidate-520275+m52-candidate-520305",114:crossfields
m52-candidate-520032,115,520032,m52-mastery-v1,2,sha256:02e682e3d1224cbd71895110137c9367cb4d20579e016fcebbf67f2f32af8b2b,sha256:750f9ef067f63e2c9d9df45ba65ffca1aa30bf1f53c3a21e8ddd93cb3531f616,7x7,6,2,6,"A+B+C+D+E+F",64,true,48,Medium,98,ACCEPT,"",0.0000,0.1667,3.1667,5,0,2,1,3,1,1,0,1,0.1566,48,3,false,1,"m52-candidate-520022+m52-candidate-520177+m52-candidate-520266+m52-candidate-520269+m52-candidate-520299+m52-candidate-520314",115:crossfields
m52-candidate-520033,116,520033,m52-advanced-continuation-v1,2,sha256:35f345d41ce32c74179ad1603140266a6c8c99fa2a6d62148525205c63fd5f15,sha256:d73f6374cc325adc77a7514c2c4f8fc7428b5e4d2c8690b736d127a1cdfb0498,7x7,6,2,2,"A+B+C+D+E+F",64,true,45,Normal,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,1,2,3,1,1,0,1,0.1132,64,3,false,1,"m52-candidate-520002+m52-candidate-520268+m52-candidate-520319",116:crossfields
m52-candidate-520035,117,520035,m52-mastery-v1,2,sha256:f94f6cc412df836602977ef1b7867efbeb3c52578d62e600dca01a88c1b31260,sha256:3bce427cfdedd1deefa94a82a5dad35cc87fc6df9d43c659abd01d2099942915,7x7,6,2,5,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1455,64,4,false,1,"m52-candidate-520017+m52-candidate-520063+m52-candidate-520065+m52-candidate-520101+m52-candidate-520265+m52-candidate-520344",117:crossfields
m52-candidate-520036,118,520036,m52-advanced-continuation-v1,2,sha256:e384d1f0f65657216f104a65a9d67e08ab0994638c4985135678c10b14372229,sha256:1df7181da67a48067cc12f428a86eb7cf930cdb05f6e5e9bef0af9893d874c32,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1304,7,0,false,1,"none",118:crossfields
m52-candidate-520037,119,520037,m52-advanced-continuation-v1,2,sha256:4b66f8201109c4eb54f29634b937121d8a19ffb7470a60413cf1b5536026f5ec,sha256:bc4ca74f8d70d623a1f5f27ae096adc2e8a03008bb28ddb5953c2fe1c2cb4430,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1566,64,4,false,1,"m52-candidate-520030+m52-candidate-520031+m52-candidate-520038+m52-candidate-520081+m52-candidate-520095+m52-candidate-520110+m52-candidate-520112+m52-candidate-520141+m52-candidate-520179+m52-candidate-520199+m52-candidate-520245+m52-candidate-520258+m52-candidate-520275+m52-candidate-520305",119:crossfields
m52-candidate-520038,120,520038,m52-mastery-v1,2,sha256:c419b1c88381da414f3decf0e7d5762851a6c64afb6b7ead72d3fcde59c39e52,sha256:a59cbb0e5b915ac8bc678f6cbc6cc527a669fde5c97d5a04de67a4f7ab5dbd2a,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1593,64,4,false,1,"m52-candidate-520030+m52-candidate-520031+m52-candidate-520037+m52-candidate-520081+m52-candidate-520095+m52-candidate-520110+m52-candidate-520112+m52-candidate-520141+m52-candidate-520179+m52-candidate-520199+m52-candidate-520245+m52-candidate-520258+m52-candidate-520275+m52-candidate-520305",120:crossfields
m52-candidate-520039,121,520039,m52-advanced-continuation-v1,2,sha256:a3ef22ebd4857a6553a15b63cf64b26303fd2776b3985ad18d746c29c4be3490,sha256:806ebb1b9138f078c45b0348f76025b773e7244651b0b450c44115d03dafdf74,7x7,6,2,5,"A+B+C+D+E+F",64,true,47,Medium,99,ACCEPT,"",0.0000,0.1667,3.1667,5,0,2,1,3,1,1,0,1,0.1455,48,3,false,1,"m52-candidate-520044+m52-candidate-520058+m52-candidate-520089+m52-candidate-520137+m52-candidate-520144+m52-candidate-520156+m52-candidate-520195+m52-candidate-520229+m52-candidate-520296+m52-candidate-520341",121:crossfields
m52-candidate-520044,122,520044,m52-mastery-v1,2,sha256:283299b8e429b55d8b4fcf0474f826144b8a6e5adfe71522f013a3d2847d6ca9,sha256:c10b561a3a3ae8b5049f9565a33596be15f83af08b1bce2445791d3ef81850e4,7x7,6,2,5,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1455,48,3,false,1,"m52-candidate-520039+m52-candidate-520058+m52-candidate-520089+m52-candidate-520137+m52-candidate-520144+m52-candidate-520156+m52-candidate-520195+m52-candidate-520229+m52-candidate-520296+m52-candidate-520341",122:crossfields
m52-candidate-520045,123,520045,m52-advanced-continuation-v1,2,sha256:ca4ae9acae6eb80097f34f393ede7350ba7fa38e59583b6d9e9f8f4df8044ee7,sha256:ee0595bb89a9e3547b1918215b8901f56f057c3923d8bb3e871b5734f290dd44,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1263,7,0,false,1,"none",123:crossfields
m52-candidate-520047,124,520047,m52-mastery-v1,2,sha256:3217a3919852b82de896a99a278ecaad69c3ea8336511fa8f5b4db1a869ba1e8,sha256:71bdd826a7bb663d9978b31c8ba5aa3f9457fcd118ec345b74bea36f1e9c01e9,7x7,6,2,7,"A+B+C+D+E+F",64,true,48,Medium,98,ACCEPT,"",0.0000,0.1667,3.1667,5,0,1,2,3,1,1,0,1,0.1650,48,3,false,1,"m52-candidate-520084+m52-candidate-520127+m52-candidate-520140+m52-candidate-520149+m52-candidate-520157+m52-candidate-520173+m52-candidate-520212+m52-candidate-520290",124:crossfields
m52-candidate-520049,125,520049,m52-advanced-continuation-v1,2,sha256:f6a6c863e68c63f9990a6bf785827f52f104e1b89d6b0e4f9ba369efbb6cff13,sha256:a0e08524d1239c66da146db16c060cc2765670e59ef59834a05e493c9f327e92,7x7,5,2,3,"A+B+C+D+E",60,false,37,Normal,98,ACCEPT,"",0.0000,0.2000,2.8000,4,0,1,0,1,0,0,1,0,0.1520,24,1,false,1,"m52-candidate-520082",125:crossfields
m52-candidate-520050,126,520050,m52-mastery-v1,2,sha256:3e16a0112c3a8359d5215a3361f7fb15556655c2df3e0a4b7bc9aed4ed1d5541,sha256:6574ed3ef71cfe94225ae3837620a54bc58ac809220250f9f2b8786fcba5f05b,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,1,2,3,1,1,0,1,0.1648,64,4,false,1,"m52-candidate-520073+m52-candidate-520116+m52-candidate-520125+m52-candidate-520130+m52-candidate-520167+m52-candidate-520242+m52-candidate-520251+m52-candidate-520263+m52-candidate-520294+m52-candidate-520308",126:polarity-chains
m52-candidate-520054,127,520054,m52-advanced-continuation-v1,2,sha256:204717a195fd2047e7407769665cb2e9ba53618e2bb9e8db41f5672ba7aa4d7b,sha256:401a6c768fc9bdf458b30f17cf43cfe82597da113759c8259f000f51d3c29b0f,7x7,5,2,6,"A+B+C+D+E",60,false,37,Normal,98,ACCEPT,"",0.0000,0.2000,2.8000,4,0,1,0,1,0,0,1,0,0.1987,24,1,false,1,"m52-candidate-520087+m52-candidate-520145+m52-candidate-520163+m52-candidate-520216+m52-candidate-520217+m52-candidate-520295+m52-candidate-520334",127:polarity-chains
m52-candidate-520055,128,520055,m52-advanced-continuation-v1,2,sha256:d541e42bc7682e82056c2d2f064adf8368177fc578b19e2dac98aae7f1665c74,sha256:af40aada1f2d1e9b00f7e55ee9e13cd9d4e437eb7e9183abc4b04122b60f22b5,6x6,3,1,6,"B+A+C",2,false,61,Hard,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1722,7,0,false,1,"m52-candidate-520321",128:polarity-chains
m52-candidate-520056,129,520056,m52-mastery-v1,2,sha256:9f725af45485dd52362ca7543d92f7d78905c095aab4a9e1091efa81bbb61f84,sha256:3b361fface6e06f51cfea67f6347b96995e57856aba03ebd6396ead4cb6043a5,7x7,6,2,3,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1122,64,2,false,1,"m52-candidate-520131+m52-candidate-520143+m52-candidate-520172",129:polarity-chains
m52-candidate-520058,130,520058,m52-advanced-continuation-v1,2,sha256:1ff5c56372c16477c64f93f8250bf47ae84a68c1cae578325c90aed0c5b4f32d,sha256:822f53669446c09719bfb74fecef98e8afe8349c443fff0359519b8b438832e5,7x7,6,2,5,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1455,48,2,false,1,"m52-candidate-520039+m52-candidate-520044+m52-candidate-520089+m52-candidate-520137+m52-candidate-520144+m52-candidate-520156+m52-candidate-520195+m52-candidate-520229+m52-candidate-520296+m52-candidate-520341",130:polarity-chains
m52-candidate-520059,131,520059,m52-mastery-v1,2,sha256:0f0b08c9b4f48c177673b0a964557ebaf0ec016acd7c929525918b99d28aa0d7,sha256:89cd65d2020535d43292c79bdf744c430931a0582445b345308f20ea0c40fb6f,7x7,6,2,8,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,1,2,3,1,1,0,1,0.1799,64,4,false,1,"m52-candidate-520086+m52-candidate-520122+m52-candidate-520128+m52-candidate-520329+m52-candidate-520347",131:polarity-chains
m52-candidate-520060,132,520060,m52-advanced-continuation-v1,2,sha256:f57b2a53701fb365ea89917e5f9fa2557007df07f42ee6aa2d320918fe125da1,sha256:d1d93d3208bf6fcfe4d7329b1393d3eed809ee0cb6d152d063b7bed1a5ad365d,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1173,7,0,false,1,"m52-candidate-520276",132:polarity-chains
m52-candidate-520061,133,520061,m52-advanced-continuation-v1,2,sha256:c068bb5524619e97b60bf3c97589d7071469a3c9c1cdb8381def190bad7be3b1,sha256:b2e8cf213175e7cdf7dc9799cae8958fb33a938db79caebf7c61013f0d3b2f0f,6x6,3,1,7,"B+A+C",2,false,61,Hard,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1801,7,0,false,1,"none",133:polarity-chains
m52-candidate-520062,134,520062,m52-mastery-v1,2,sha256:031e987a2b99d2bf5cafb409583857efa8bdcca0dcde0e17d5459300a66ddc5f,sha256:96cad7304123a53fbb819a4b111d7a83d5d5859a0dae9bf1315e5e75df9aff90,7x7,6,2,4,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1376,64,2,false,2,"m52-candidate-520014+m52-candidate-520024+m52-candidate-520026+m52-candidate-520083+m52-candidate-520103+m52-candidate-520152+m52-candidate-520200+m52-candidate-520211+m52-candidate-520257+m52-candidate-520272+m52-candidate-520328+m52-candidate-520338",134:polarity-chains
m52-candidate-520063,135,520063,m52-advanced-continuation-v1,2,sha256:a62e9e7b4e5b21bdd9b9d12692b932ce98fd7bcfa7f2cf27c4f0aa1eebe304af,sha256:44e84b6061d0987aacda1f8e5a2a8c279d9fb41550422b8af38f7c520917b8d5,7x7,6,2,5,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1455,64,2,false,1,"m52-candidate-520017+m52-candidate-520035+m52-candidate-520065+m52-candidate-520101+m52-candidate-520265+m52-candidate-520344",135:polarity-chains
m52-candidate-520065,136,520065,m52-mastery-v1,2,sha256:4fc860aaa26fc20ad9ae895fe9daf570578e8433833a1e74cc60608dbea7317f,sha256:c5b44a728fbb7bdd43b7c6a5559862e69389502d43c90c18a5e77d274c212e8f,7x7,6,2,5,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1455,64,2,false,1,"m52-candidate-520017+m52-candidate-520035+m52-candidate-520063+m52-candidate-520101+m52-candidate-520265+m52-candidate-520344",136:polarity-chains
m52-candidate-520066,137,520066,m52-advanced-continuation-v1,2,sha256:937581c3328ecae33bede5ccb96c684d49159615422ad5142dc6116a01c31ad1,sha256:472a9498e6a574dba04668fe40e0c00619b84e71bcad80c51eaf099e68b323dd,7x7,4,1,4,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1057,15,0,false,1,"m52-candidate-520018+m52-candidate-520075",137:polarity-chains
m52-candidate-520067,138,520067,m52-advanced-continuation-v1,2,sha256:ab68018bc3a432d34aa4b7ced75e41eb2b33998079e8906b299b74162de4ee18,sha256:f7dad05a307c43bfa7b8c7f6b72a2afda6514ca5ddbe544140916f7ab66c7cdd,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1173,7,0,false,1,"none",138:polarity-chains
m52-candidate-520068,139,520068,m52-mastery-v1,2,sha256:cf4bfc0cd356d71bb3b2d66ddc43ca954551a12387305c487380c06990b210cd,sha256:0f8a229cf120e6010483f7bd0c68cfa5664b8480839c55f7e8766ee714ebf8c4,7x7,6,2,7,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1673,64,2,false,2,"m52-candidate-520114+m52-candidate-520155+m52-candidate-520166+m52-candidate-520176+m52-candidate-520196+m52-candidate-520221+m52-candidate-520233+m52-candidate-520241+m52-candidate-520323+m52-candidate-520332",139:polarity-chains
m52-candidate-520070,140,520070,m52-advanced-continuation-v1,2,sha256:3cab3c643236e9faecb689e86339139d6e0b08620606fb98b1c1fb598720d646,sha256:e59f3bf5e4b560e72d02dc925c61b68c520419a3f30d85efa414167a1654a34f,7x7,6,2,5,"A+B+C+D+E+F",64,true,46,Medium,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1487,64,2,false,1,"m52-candidate-520108+m52-candidate-520109+m52-candidate-520146+m52-candidate-520161+m52-candidate-520164+m52-candidate-520224+m52-candidate-520236+m52-candidate-520287+m52-candidate-520303",140:polarity-chains
m52-candidate-520073,141,520073,m52-advanced-continuation-v1,2,sha256:a469757e492494d46fe64f9cc690bde2ad6171e56700980054d32ae1c1a1df0c,sha256:6dffb7f8abdbe7b6899354a15ea015624f2609ee8cd84396d15887539492d8f1,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1593,64,2,false,1,"m52-candidate-520050+m52-candidate-520116+m52-candidate-520125+m52-candidate-520130+m52-candidate-520167+m52-candidate-520242+m52-candidate-520251+m52-candidate-520263+m52-candidate-520294+m52-candidate-520308",141:mastery-set
m52-candidate-520074,142,520074,m52-mastery-v1,2,sha256:4a886263b884d09e57d69073922005ac53264d5d352872a7e522746f1dc415d0,sha256:89bb4a66178092f6a981047d619f837cef9ef4a23491b9d2d23ef8019e34edba,7x7,6,2,4,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1376,48,1,false,1,"m52-candidate-520005+m52-candidate-520077+m52-candidate-520105+m52-candidate-520119+m52-candidate-520185+m52-candidate-520206+m52-candidate-520235+m52-candidate-520311",142:mastery-set
m52-candidate-520075,143,520075,m52-advanced-continuation-v1,2,sha256:25422a7fcba13b27ec1afe27edd50c9e6b36900d7b6bf7f6c555ca5a9d3ad680,sha256:fc6276f208e9de7421196ac210afd6b109c5d7a74707e443de2f0bb2f7a2122d,7x7,4,1,4,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1057,15,0,false,1,"m52-candidate-520018+m52-candidate-520066",143:mastery-set
m52-candidate-520076,144,520076,m52-advanced-continuation-v1,2,sha256:e93b1301d5e557aac538799ed4448ef3cb519fba96ba05b69b48ea84eb562898,sha256:1cb414e6802beac6cb390f27a908bc39e1105ae7fcf53e849af5fa7536019f40,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1528,7,0,false,1,"m52-candidate-520162",144:mastery-set
m52-candidate-520077,145,520077,m52-mastery-v1,2,sha256:81ff1d887ae74392f15144f86b3ba1904894bd1072e1e447fc3b17aaaaeaa4d4,sha256:8d6ef41df72f2d2ddb27353bec84577e936e84ca527df6c67cd304486c0797ea,7x7,6,2,4,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1376,48,1,false,1,"m52-candidate-520005+m52-candidate-520074+m52-candidate-520105+m52-candidate-520119+m52-candidate-520185+m52-candidate-520206+m52-candidate-520235+m52-candidate-520311",145:mastery-set
m52-candidate-520080,146,520080,m52-mastery-v1,2,sha256:a59736dde62d091ef4e9900c72d240f4756b3a8bdc387bd8ea54b555cacb6b8a,sha256:970c3842c79b6371e6599d7545c12fc5eb69be0a56ce0ecf3ab92df145192311,7x7,6,2,3,"A+B+C+D+E+F",64,true,45,Normal,99,ACCEPT,"",0.0000,0.1667,3.5000,6,0,1,2,3,1,1,0,1,0.1350,64,2,false,2,"m52-candidate-520023+m52-candidate-520092+m52-candidate-520113+m52-candidate-520260+m52-candidate-520289",146:mastery-set
m52-candidate-520081,147,520081,m52-advanced-continuation-v1,2,sha256:9d5a07d2051687e2bff0ced514a0f0d4120fbb7567018ead1fd30f90bd5f1784,sha256:fcf4bd11a8a30ffa52c2a53659085de033598b65381552fe7721d8f053584cf4,7x7,6,2,6,"A+B+C+D+E+F",64,true,46,Medium,98,ACCEPT,"",0.0000,0.1667,3.5000,6,0,2,2,4,1,0,0,0,0.1538,64,2,false,1,"m52-candidate-520030+m52-candidate-520031+m52-candidate-520037+m52-candidate-520038+m52-candidate-520095+m52-candidate-520110+m52-candidate-520112+m52-candidate-520141+m52-candidate-520179+m52-candidate-520199+m52-candidate-520245+m52-candidate-520258+m52-candidate-520275+m52-candidate-520305",147:mastery-set
