level_id,campaign_number,seed,profile,generator_version,exact_fingerprint,symmetry_fingerprint,board,arrows,magnets,walls,certified_solution,solution_count,solution_capped,difficulty_score,difficulty_band,quality_score,quality_status,quality_reasons,fatal_choice_ratio,forced_move_ratio,average_branching,maximum_branching,critical_constraints,pull_actions,push_actions,polarity_flips,controller_changes,occlusion_dependencies,cancellation_dependencies,wall_dependencies,visual_congestion,solver_states,generation_certification_ms,essential_analysis_capped,attempts,campaign_role,design_rationale,before_fingerprint,approval_status
campaign-111,111,520025,m52-advanced-continuation-v1,2,sha256:2d61f52377921e48f4421fde83e27d4021b96864623c85d4a4b6e7dad33272de,sha256:a5a3cd783d976c742cd231dd589771c6d85f21b39c92b4029c97f6389a0e1797,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1441,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:2d61f52377921e48f4421fde83e27d4021b96864623c85d4a4b6e7dad33272de,APPROVED
campaign-112,112,520133,m52-advanced-continuation-v1,2,sha256:1317b9be246ed4ea24cf362b81cda9ef305c508e5c7044c3af6ee36bd9886ed6,sha256:a1bc209c7c5e2afc6f417b03df50d43f763ee4709ec9036b0a8fd963f80f101c,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1667,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:1317b9be246ed4ea24cf362b81cda9ef305c508e5c7044c3af6ee36bd9886ed6,APPROVED
campaign-113,113,520036,m52-advanced-continuation-v1,2,sha256:e384d1f0f65657216f104a65a9d67e08ab0994638c4985135678c10b14372229,sha256:1df7181da67a48067cc12f428a86eb7cf930cdb05f6e5e9bef0af9893d874c32,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1304,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:e384d1f0f65657216f104a65a9d67e08ab0994638c4985135678c10b14372229,APPROVED
campaign-114,114,520045,m52-advanced-continuation-v1,2,sha256:ca4ae9acae6eb80097f34f393ede7350ba7fa38e59583b6d9e9f8f4df8044ee7,sha256:ee0595bb89a9e3547b1918215b8901f56f057c3923d8bb3e871b5734f290dd44,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1263,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:ca4ae9acae6eb80097f34f393ede7350ba7fa38e59583b6d9e9f8f4df8044ee7,APPROVED
campaign-115,115,520066,m52-advanced-continuation-v1,hand-tuned,sha256:0041f25d5a86f821e53f3773a75a53e771777b901a848e2dbd1e46d7b772a090,sha256:1041785f839b056805bc603925b384db0390766fb849ca0a279f79b4f8090185,7x7,4,1,6,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1259,15,0,false,1,PEAK,"Hand-tuned as a fair checkpoint with a readable critical ordering dependency.",sha256:937581c3328ecae33bede5ccb96c684d49159615422ad5142dc6116a01c31ad1,APPROVED
campaign-116,116,520060,m52-advanced-continuation-v1,2,sha256:f57b2a53701fb365ea89917e5f9fa2557007df07f42ee6aa2d320918fe125da1,sha256:d1d93d3208bf6fcfe4d7329b1393d3eed809ee0cb6d152d063b7bed1a5ad365d,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1173,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:f57b2a53701fb365ea89917e5f9fa2557007df07f42ee6aa2d320918fe125da1,APPROVED
campaign-117,117,520067,m52-advanced-continuation-v1,2,sha256:ab68018bc3a432d34aa4b7ced75e41eb2b33998079e8906b299b74162de4ee18,sha256:f7dad05a307c43bfa7b8c7f6b72a2afda6514ca5ddbe544140916f7ab66c7cdd,7x7,3,1,4,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1173,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:ab68018bc3a432d34aa4b7ced75e41eb2b33998079e8906b299b74162de4ee18,APPROVED
campaign-118,118,520162,m52-advanced-continuation-v1,2,sha256:f8cc3e3199cc013b991c8143daf3c1210e014c6d01dda7627393ebb7aa63c937,sha256:dec8617503a265094addc8850b9a08743f2d8ab6654f3cb71544ec56e6488691,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1597,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:f8cc3e3199cc013b991c8143daf3c1210e014c6d01dda7627393ebb7aa63c937,APPROVED
campaign-119,119,520088,m52-advanced-continuation-v1,2,sha256:fe3a20d07038c5d9990074e94154ce8cbdf386332053e59137031f787e927cbc,sha256:a1436b746c9c31cf6c06d79f89e5b5503b589fe1f710b80204fd0f8bb2e2d3ab,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1486,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:fe3a20d07038c5d9990074e94154ce8cbdf386332053e59137031f787e927cbc,APPROVED
campaign-120,120,520075,m52-advanced-continuation-v1,hand-tuned,sha256:bb54218b197a027dbe6980068c0f3aa98d31b31f25d81fd95535dfe7345ea4ce,sha256:1b291259ee0f98163053c18e1084bcda4cd75b1b68eb776daf4e500ec030e7b0,7x7,4,1,6,"A+B+D+C",8,false,61,Hard,94,ACCEPT,"",0.2500,0.5000,1.7500,3,1,2,1,3,0,1,0,1,0.1350,14,0,false,1,PEAK,"Hand-tuned so an occlusion clue drives the intended ordering insight.",sha256:25422a7fcba13b27ec1afe27edd50c9e6b36900d7b6bf7f6c555ca5a9d3ad680,APPROVED
campaign-121,121,520090,m52-advanced-continuation-v1,2,sha256:5cad8367a83bbd3694f96a0191695ec2bb3fcb48a1ee41f5ba27a77a65b30d5d,sha256:2a899f5f2fd3ba9a30ab47aae42de29c6a5d39088ecfbb718c3276006c5c7807,7x7,3,1,6,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1354,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:5cad8367a83bbd3694f96a0191695ec2bb3fcb48a1ee41f5ba27a77a65b30d5d,APPROVED
campaign-122,122,520100,m52-advanced-continuation-v1,2,sha256:a03854b139a054dff2236e56cb42c38e5b2beee2817c13b8cbfca3a32104a739,sha256:502c33c1506c5deca2c62e6ea436a81794434023572f0d89fa0e792ab27b2d7c,7x7,3,1,6,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1243,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:a03854b139a054dff2236e56cb42c38e5b2beee2817c13b8cbfca3a32104a739,APPROVED
campaign-123,123,520138,m52-advanced-continuation-v1,2,sha256:420d1508fc01b67bae7cdeb472bd4b57d6b216f3a8b040277e44d7a3eec51f88,sha256:c0ea357513545d6a2439bb15d9326aaf4e3df16c1c43dacf34ae5ab9443a1bdf,7x7,4,1,5,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1132,15,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:420d1508fc01b67bae7cdeb472bd4b57d6b216f3a8b040277e44d7a3eec51f88,APPROVED
campaign-124,124,520183,m52-advanced-continuation-v1,2,sha256:b47c7cf4a12cfeae852a0a6a4bda8a7de55728fd0fe85595dacfc04d42694af7,sha256:6b9021ab0c97b01b9871e04ef2ab3c42f31f092eba87909759f843ba12000575,6x6,3,1,3,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1567,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:b47c7cf4a12cfeae852a0a6a4bda8a7de55728fd0fe85595dacfc04d42694af7,APPROVED
campaign-125,125,520054,m52-advanced-continuation-v1,hand-tuned,sha256:0131a2641d716bc74a8442c32bb14c78e8e8c4f176a4d20c332ad97118d8d69a,sha256:db002deeda37952de29c9d3e7c0859f4599f404d710600635035a2143197ef3e,7x7,5,2,7,"A+B+C+D+E",60,false,38,Normal,98,ACCEPT,"",0.0000,0.2000,2.8000,4,0,1,0,1,0,0,1,0,0.2093,24,1,false,1,PEAK,"Hand-tuned so a readable cancellation dependency drives the intended ordering insight.",sha256:204717a195fd2047e7407769665cb2e9ba53618e2bb9e8db41f5672ba7aa4d7b,APPROVED
campaign-126,126,520169,m52-advanced-continuation-v1,2,sha256:cf5bd3277f77c765343e68b0d781dacd3f90e19bc134740bb3047d06046125f1,sha256:fd5438091f176f365b6ba0713a37e95c76db7428c829021ca0d36bc405a48353,7x7,3,1,6,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1298,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:cf5bd3277f77c765343e68b0d781dacd3f90e19bc134740bb3047d06046125f1,APPROVED
campaign-127,127,520223,m52-advanced-continuation-v1,2,sha256:343a5ac75104bc6f7e52508659053023811ece78bde4cdbed521e34e593a948a,sha256:de0f67537e57a3e4e2b323e54887231e8e660c801aa2265f1ede96601566d4b9,7x7,4,1,6,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1259,15,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:343a5ac75104bc6f7e52508659053023811ece78bde4cdbed521e34e593a948a,APPROVED
campaign-128,128,520171,m52-advanced-continuation-v1,2,sha256:dd9a41d9d09fc68ad825a9b0953e4a6411be3fc4a31df10d6ec6a32e7ee190b6,sha256:76ff6aa0e17dcf436943902dfb2f28afe9ecc0ac3f6a02629f8c32c86fa0f70d,7x7,3,1,5,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1196,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:dd9a41d9d09fc68ad825a9b0953e4a6411be3fc4a31df10d6ec6a32e7ee190b6,APPROVED
campaign-129,129,520153,m52-advanced-continuation-v1,2,sha256:e9f9bbc05aad9ad984ec0ef7501ab08d3ea88f315a616e296e9db96182aec226,sha256:fe96f5c815a6063dc3cb000800b53fdd0e42c57a787de4b5fd8d98234f5a621e,7x7,4,1,5,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1243,15,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:e9f9bbc05aad9ad984ec0ef7501ab08d3ea88f315a616e296e9db96182aec226,APPROVED
campaign-130,130,520192,m52-advanced-continuation-v1,hand-tuned,sha256:cd1670cee09cfe45f861e518d865bd9aab7b5c7c748868ddb46ceb4c8fad0bea,sha256:d76df1db2807b7591b57457b557caf3d974b505e25de64354edfa497b2f650c5,7x7,4,1,7,"B+A+D+C",4,false,68,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1414,15,0,false,1,PEAK,"Hand-tuned as a fair checkpoint with a readable critical ordering dependency.",sha256:b74770ca3eea2bafea7ab8df8030d59551b7c0ade3d09d3077f3fb71ff4e796d,APPROVED
campaign-131,131,520207,m52-advanced-continuation-v1,2,sha256:0a11151fc8ccd54029dba4c63119a451a7602f3d9b5b8b92913c7807f0b5d45b,sha256:a47dae420ac5d9944f4203a9ceed199f983c4118c0736a54878ab784af9bc58b,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1597,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:0a11151fc8ccd54029dba4c63119a451a7602f3d9b5b8b92913c7807f0b5d45b,APPROVED
campaign-132,132,520175,m52-advanced-continuation-v1,2,sha256:a4654d5ed11c1ffc6ac471b57d64f9945f9016e13adfcb726f232158cd36dac9,sha256:86aedbe93cbffee2593f81bc9faed735436e88dc2749f9ce824ece4c87026b4c,7x7,3,1,3,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1310,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:a4654d5ed11c1ffc6ac471b57d64f9945f9016e13adfcb726f232158cd36dac9,APPROVED
campaign-133,133,520301,m52-advanced-continuation-v1,2,sha256:cdf780171c9febf0ff8400acb9fcfe5ed36d5c1b7ed48f77ef0ef0b7f572fc41,sha256:11c9d476194454afc19514087f73d1150963060c2cc084ac97192468865e357f,7x7,4,1,3,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1084,15,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:cdf780171c9febf0ff8400acb9fcfe5ed36d5c1b7ed48f77ef0ef0b7f572fc41,APPROVED
campaign-134,134,520178,m52-advanced-continuation-v1,2,sha256:777d0d16746254379a38589780c28914889b09206b45833ca1312e628bc34b69,sha256:f3e342918f7309af0060a3ad0c7b9e607df025190045f858c6d8738ac962486f,7x7,3,1,6,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1298,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:777d0d16746254379a38589780c28914889b09206b45833ca1312e628bc34b69,APPROVED
campaign-135,135,520190,m52-advanced-continuation-v1,hand-tuned,sha256:97d803e6f78d6796569a0fa69dd02065e5db17b3cbf4507019fcf175c9380259,sha256:724945b7e1dd6fd54ede09b9518aa592d58041e6fd38f0b36d22e4be6ecefc6d,7x7,3,1,6,"A+B+C",3,false,71,Hard,87,ACCEPT,"",0.6667,0.6667,1.3333,2,2,1,1,2,0,1,0,1,0.1354,8,0,false,1,PEAK,"Hand-tuned so an occlusion clue drives the intended ordering insight.",sha256:4226459a3c173e11a2b78f0d8b27b54f7dea5b0b414c089703325f668971e956,APPROVED
campaign-136,136,520208,m52-advanced-continuation-v1,2,sha256:e49617213de87eed26c1a54f8263362bf32800ab2c09ec08efe62a4e2944c9e6,sha256:6c6860670d7b9f8e74a5aabd3058109ee23f7cea7da2e454a3be31788b1b2e15,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1350,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:e49617213de87eed26c1a54f8263362bf32800ab2c09ec08efe62a4e2944c9e6,APPROVED
campaign-137,137,520226,m52-advanced-continuation-v1,2,sha256:f45358f5da956c262b83492b9b4c4b2ba27d3b16df7b2ab6d3e52a1cc58196fa,sha256:1befb97ad5354c1bb49a4eb3653a02119cdc5f05e6b2e35813ddc04c67dfd70f,6x6,3,1,5,"B+A+C",2,false,60,Medium,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1736,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:f45358f5da956c262b83492b9b4c4b2ba27d3b16df7b2ab6d3e52a1cc58196fa,APPROVED
campaign-138,138,520243,m52-advanced-continuation-v1,2,sha256:6fecd89c315263862e7b4d5128a3c8f93fddd8aecd14853da603bc3ba404aa9a,sha256:f347458765fa2f0070a9edfde569dc12d8b0f239c9b0c92f6bea369d1095a87c,7x7,3,1,7,"B+A+C",2,false,60,Medium,90,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1441,7,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:6fecd89c315263862e7b4d5128a3c8f93fddd8aecd14853da603bc3ba404aa9a,APPROVED
campaign-139,139,520270,m52-advanced-continuation-v1,2,sha256:db991bc007465f87c1c91cce648acddda4b48aeedb3a77a4d4fd7bb84777b2a5,sha256:01c39b08230b04609cb984201fb9ed5c2ae593556b6c3129ea80d89c295ee128,7x7,4,1,5,"A+B+C+D",4,false,67,Hard,88,ACCEPT,"",0.6000,0.5000,1.5000,2,2,2,2,4,0,0,0,0,0.1243,15,0,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:db991bc007465f87c1c91cce648acddda4b48aeedb3a77a4d4fd7bb84777b2a5,APPROVED
campaign-140,140,520011,m52-mastery-v1,hand-tuned,sha256:1e1fa20b0fbb7d38d4e0978b30505e1ef3e926c485cc20b4ccc6a97976e7deee,sha256:1eb6c03304e09af596dc18965a96c3d045a43bd98bd9052e08acc058e761673f,7x7,6,2,7,"B+A+D+C+E+F",64,true,70,Hard,93,ACCEPT,"",0.2667,0.1667,2.8333,4,3,2,2,4,1,0,0,0,0.1721,64,5,false,1,PEAK,"Hand-tuned wall geometry makes a controller change legible without adding a new mechanic.",sha256:63cdff2823cd7d56f8ea82b2b50e2548710f381a4a7c94c04e5944f49a6a03a2,APPROVED
campaign-141,141,520044,m52-mastery-v1,2,sha256:283299b8e429b55d8b4fcf0474f826144b8a6e5adfe71522f013a3d2847d6ca9,sha256:c10b561a3a3ae8b5049f9565a33596be15f83af08b1bce2445791d3ef81850e4,7x7,6,2,5,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1455,48,3,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:283299b8e429b55d8b4fcf0474f826144b8a6e5adfe71522f013a3d2847d6ca9,APPROVED
campaign-142,142,520074,m52-mastery-v1,2,sha256:4a886263b884d09e57d69073922005ac53264d5d352872a7e522746f1dc415d0,sha256:89bb4a66178092f6a981047d619f837cef9ef4a23491b9d2d23ef8019e34edba,7x7,6,2,4,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1376,48,1,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:4a886263b884d09e57d69073922005ac53264d5d352872a7e522746f1dc415d0,APPROVED
campaign-143,143,520055,m52-advanced-continuation-v1,2,sha256:d541e42bc7682e82056c2d2f064adf8368177fc578b19e2dac98aae7f1665c74,sha256:af40aada1f2d1e9b00f7e55ee9e13cd9d4e437eb7e9183abc4b04122b60f22b5,6x6,3,1,6,"B+A+C",2,false,61,Hard,89,ACCEPT,"",0.5000,0.6667,1.3333,2,1,2,1,3,0,0,0,0,0.1722,7,0,false,1,RECOVERY,"Selected from the deterministic advanced pool for recovery pacing.",sha256:d541e42bc7682e82056c2d2f064adf8368177fc578b19e2dac98aae7f1665c74,APPROVED
campaign-144,144,520086,m52-mastery-v1,2,sha256:a1b36a4205db832ad98a3cc0e20e51b2c601bf9c1a5b680f7151408982eba34f,sha256:1abf04ce319dfa50eef4824f9270248404c581de79712c2358a8c41359bd3bb1,7x7,6,2,8,"A+B+C+D+E+F",64,true,49,Medium,98,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1778,48,1,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:a1b36a4205db832ad98a3cc0e20e51b2c601bf9c1a5b680f7151408982eba34f,APPROVED
campaign-145,145,520140,m52-mastery-v1,2,sha256:e1867b66b1d0d8b6ee98f5326acbb46fd482fd38e27516c083146392a3940cf6,sha256:387038e17f05ae0d4ee4363a010f288a2ed12dcf5f8ec89331e6c8ddc3fdc891,7x7,6,2,7,"A+B+C+D+E+F",64,true,49,Medium,98,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1650,48,1,false,1,PEAK,"Selected from the deterministic advanced pool for peak pacing.",sha256:e1867b66b1d0d8b6ee98f5326acbb46fd482fd38e27516c083146392a3940cf6,APPROVED
campaign-146,146,520137,m52-mastery-v1,2,sha256:25a1d46433a9da6d2bb98265a4f1a4ff760f572c473b7bc7121a1c52d8564981,sha256:fdcb4ab6dc35cbba3f06017a394c30012fe8c490cebed05c0120479c2a8a9e56,7x7,6,2,5,"A+B+C+D+E+F",64,true,49,Medium,99,ACCEPT,"",0.0000,0.1667,3.0000,5,0,2,2,4,1,0,0,0,0.1423,48,1,false,1,BUILD,"Selected from the deterministic advanced pool for build pacing.",sha256:25a1d46433a9da6d2bb98265a4f1a4ff760f572c473b7bc7121a1c52d8564981,APPROVED
